season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under
2024,12,regular,fbs,401645369,Temple,Florida Atlantic,2024-11-16T19:00:00+00:00,fanduel,spread,2024-11-16T16:00:38+00:00,2024-11-16T19:25:38+00:00,-1.5,-108.0,-112.0,-2.5,-113.0,-115.0,,,,
2024,12,regular,fbs,401645369,Temple,Florida Atlantic,2024-11-16T19:00:00+00:00,fanduel,total,2024-11-16T16:00:38+00:00,2024-11-16T19:25:38+00:00,49.5,,,47.5,,,-110.0,-110.0,-110.0,-118.0
2024,12,regular,fbs,401640986,Jacksonville State,Florida International,2024-11-16T19:00:00+00:00,fanduel,spread,2024-11-16T16:00:38+00:00,2024-11-16T19:25:38+00:00,-12.5,-112.0,-108.0,-8.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401640986,Jacksonville State,Florida International,2024-11-16T19:00:00+00:00,fanduel,total,2024-11-16T16:00:38+00:00,2024-11-16T19:25:38+00:00,58.5,,,54.5,,,-110.0,-110.0,-114.0,-114.0
2024,12,regular,fbs,401628425,Alabama,Mercer,2024-11-16T19:00:00+00:00,fanduel,spread,2024-11-16T16:00:38+00:00,2024-11-16T19:25:38+00:00,-41.5,-110.0,-110.0,-48.5,-115.0,-113.0,,,,
2024,12,regular,fbs,401628425,Alabama,Mercer,2024-11-16T19:00:00+00:00,fanduel,total,2024-11-16T16:00:38+00:00,2024-11-16T19:25:38+00:00,58.5,,,60.5,,,-110.0,-110.0,-114.0,-114.0
2024,12,regular,fbs,401628547,Illinois,Michigan State,2024-11-16T19:30:00+00:00,fanduel,spread,2024-11-16T16:30:38+00:00,2024-11-16T19:55:38+00:00,-2.5,-115.0,-105.0,-6.5,-115.0,-113.0,,,,
2024,12,regular,fbs,401628547,Illinois,Michigan State,2024-11-16T19:30:00+00:00,fanduel,total,2024-11-16T16:30:38+00:00,2024-11-16T19:55:38+00:00,47.5,,,50.5,,,-110.0,-110.0,-115.0,-113.0
2024,12,regular,fbs,401643760,Utah State,Hawai'i,2024-11-16T20:00:00+00:00,fanduel,spread,2024-11-16T17:00:38+00:00,2024-11-16T20:25:38+00:00,2.5,-110.0,-110.0,-3.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401643760,Utah State,Hawai'i,2024-11-16T20:00:00+00:00,fanduel,total,2024-11-16T17:00:38+00:00,2024-11-16T20:25:38+00:00,62.5,,,64.5,,,-110.0,-110.0,-113.0,-115.0
2024,12,regular,fbs,401641022,Kennesaw State,Sam Houston,2024-11-16T20:00:00+00:00,fanduel,spread,2024-11-16T17:00:38+00:00,2024-11-16T20:25:38+00:00,20.5,-110.0,-110.0,18.5,-114.0,-114.0,,,,
2024,12,regular,fbs,401641022,Kennesaw State,Sam Houston,2024-11-16T20:00:00+00:00,fanduel,total,2024-11-16T17:00:38+00:00,2024-11-16T20:25:38+00:00,42.5,,,35.5,,,-118.0,-104.0,-114.0,-114.0
2024,12,regular,fbs,401635581,California,Syracuse,2024-11-16T20:00:00+00:00,fanduel,spread,2024-11-16T17:00:38+00:00,2024-11-16T20:25:38+00:00,-9.5,-115.0,-105.0,-8.5,-110.0,-118.0,,,,
