season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under,open_price_draw,close_price_draw
2025,1,regular,fbs,401752676,Tennessee,Syracuse,2025-08-30T16:00:00+00:00,fanduel,moneyline,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,,-500.0,375.0,,-500.0,375.0,,,,,,
2025,1,regular,fbs,401762434,Navy,VMI,2025-08-30T16:00:00+00:00,fanduel,spread,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,-41.5,-115.0,-105.0,-40.5,-115.0,-105.0,,,,,,
2025,1,regular,fbs,401762434,Navy,VMI,2025-08-30T16:00:00+00:00,fanduel,total,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,50.5,,,50.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401762792,Kent State,Merrimack,2025-08-30T16:00:00+00:00,fanduel,spread,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,-6.5,-110.0,-110.0,-6.5,-115.0,-105.0,,,,,,
2025,1,regular,fbs,401762792,Kent State,Merrimack,2025-08-30T16:00:00+00:00,fanduel,total,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,50.5,,,50.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401762792,Kent State,Merrimack,2025-08-30T16:00:00+00:00,fanduel,moneyline,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,,-220.0,180.0,,-230.0,188.0,,,,,,
2025,1,regular,fbs,401754520,Pittsburgh,Duquesne,2025-08-30T16:00:00+00:00,fanduel,spread,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,-38.5,-105.0,-115.0,-38.5,-105.0,-115.0,,,,,,
2025,1,regular,fbs,401754520,Pittsburgh,Duquesne,2025-08-30T16:00:00+00:00,fanduel,total,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,55.5,,,55.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401752803,Tulane,Northwestern,2025-08-30T16:00:00+00:00,fanduel,spread,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,-4.5,-114.0,-106.0,-4.5,-114.0,-106.0,,,,,,
2025,1,regular,fbs,401752803,Tulane,Northwestern,2025-08-30T16:00:00+00:00,fanduel,total,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,45.5,,,45.5,,,-115.0,-105.0,-115.0,-105.0,,
2025,1,regular,fbs,401752803,Tulane,Northwestern,2025-08-30T16:00:00+00:00,fanduel,moneyline,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,,-200.0,164.0,,-200.0,164.0,,,,,,
2025,1,regular,fbs,401752801,Purdue,Ball State,2025-08-30T16:00:00+00:00,fanduel,spread,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,-17.5,-105.0,-115.0,-17.5,-105.0,-115.0,,,,,,
2025,1,regular,fbs,401752801,Purdue,Ball State,2025-08-30T16:00:00+00:00,fanduel,total,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,48.5,,,49.5,,,-105.0,-115.0,-104.0,-118.0,,
2025,1,regular,fbs,401752801,Purdue,Ball State,2025-08-30T16:00:00+00:00,fanduel,moneyline,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,,-1000.0,640.0,,-1000.0,640.0,,,,,,
2025,1,regular,fbs,401752797,Maryland,Florida Atlantic,2025-08-30T16:00:00+00:00,fanduel,spread,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,-14.5,-110.0,-110.0,-14.5,-110.0,-110.0,,,,,,
2025,1,regular,fbs,401752797,Maryland,Florida Atlantic,2025-08-30T16:00:00+00:00,fanduel,total,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,61.5,,,61.5,,,-105.0,-115.0,-105.0,-115.0,,
2025,1,regular,fbs,401752797,Maryland,Florida Atlantic,2025-08-30T16:00:00+00:00,fanduel,moneyline,2025-08-30T04:00:39+00:00,2025-08-30T11:50:39+00:00,,-610.0,440.0,,-610.0,440.0,,,,,,
2025,1,regular,fbs,401752670,Kentucky,Toledo,2025-08-30T16:45:00+00:00,fanduel,spread,2025-08-30T04:45:39+00:00,2025-08-30T11:50:39+00:00,-9.5,-120.0,-102.0,-10.0,-110.0,-110.0,,,,,,
2025,1,regular,fbs,401752670,Kentucky,Toledo,2025-08-30T16:45:00+00:00,fanduel,total,2025-08-30T04:45:39+00:00,2025-08-30T11:50:39+00:00,48.5,,,48.5,,,-105.0,-115.0,-105.0,-115.0,,
2025,1,regular,fbs,401752670,Kentucky,Toledo,2025-08-30T16:45:00+00:00,fanduel,moneyline,2025-08-30T04:45:39+00:00,2025-08-30T11:50:39+00:00,,-375.0,290.0,,-360.0,280.0,,,,,,
2025,1,regular,fbs,401754518,Boston College,Fordham,2025-08-30T18:00:00+00:00,fanduel,spread,2025-08-30T06:00:39+00:00,2025-08-30T11:50:39+00:00,-37.5,-110.0,-110.0,-37.5,-110.0,-110.0,,,,,,
2025,1,regular,fbs,401754518,Boston College,Fordham,2025-08-30T18:00:00+00:00,fanduel,total,2025-08-30T06:00:39+00:00,2025-08-30T11:50:39+00:00,53.5,,,53.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401757167,UConn,Central Connecticut,2025-08-30T18:00:00+00:00,fanduel,spread,2025-08-30T06:00:39+00:00,2025-08-30T11:50:39+00:00,-25.5,-110.0,-110.0,-25.5,-110.0,-110.0,,,,,,
2025,1,regular,fbs,401757167,UConn,Central Connecticut,2025-08-30T18:00:00+00:00,fanduel,total,2025-08-30T06:00:39+00:00,2025-08-30T11:50:39+00:00,51.5,,,51.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401757167,UConn,Central Connecticut,2025-08-30T18:00:00+00:00,fanduel,moneyline,2025-08-30T06:00:39+00:00,2025-08-30T11:50:39+00:00,,-4000.0,1400.0,,-4000.0,1400.0,,,,,,
2025,1,regular,fbs,401756878,West Virginia,Robert Morris,2025-08-30T18:00:00+00:00,fanduel,spread,2025-08-30T06:00:39+00:00,2025-08-30T11:50:39+00:00,-39.5,-110.0,-110.0,-38.5,-105.0,-115.0,,,,,,
2025,1,regular,fbs,401756878,West Virginia,Robert Morris,2025-08-30T18:00:00+00:00,fanduel,total,2025-08-30T06:00:39+00:00,2025-08-30T11:50:39+00:00,55.5,,,55.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401752806,Indiana,Old Dominion,2025-08-30T18:30:00+00:00,fanduel,spread,2025-08-30T06:30:38+00:00,2025-08-30T11:50:39+00:00,-23.5,-115.0,-105.0,-23.5,-115.0,-105.0,,,,,,
2025,1,regular,fbs,401752806,Indiana,Old Dominion,2025-08-30T18:30:00+00:00,fanduel,total,2025-08-30T06:30:38+00:00,2025-08-30T11:50:39+00:00,52.5,,,52.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401752806,Indiana,Old Dominion,2025-08-30T18:30:00+00:00,fanduel,moneyline,2025-08-30T06:30:38+00:00,2025-08-30T11:50:39+00:00,,-3000.0,1200.0,,-3000.0,1200.0,,,,,,
2025,1,regular,fbs,401754519,Louisville,Eastern Kentucky,2025-08-30T19:00:00+00:00,fanduel,spread,2025-08-30T07:00:38+00:00,2025-08-30T11:50:39+00:00,-38.5,-110.0,-110.0,-38.5,-110.0,-110.0,,,,,,
2025,1,regular,fbs,401754519,Louisville,Eastern Kentucky,2025-08-30T19:00:00+00:00,fanduel,total,2025-08-30T07:00:38+00:00,2025-08-30T11:50:39+00:00,56.5,,,56.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401756853,Iowa State,South Dakota,2025-08-30T19:30:00+00:00,fanduel,spread,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,-15.5,-110.0,-110.0,-15.5,-110.0,-110.0,,,,,,
2025,1,regular,fbs,401756853,Iowa State,South Dakota,2025-08-30T19:30:00+00:00,fanduel,total,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,47.5,,,47.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,1,regular,fbs,401756853,Iowa State,South Dakota,2025-08-30T19:30:00+00:00,fanduel,moneyline,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,,-780.0,530.0,,-780.0,530.0,,,,,,
2025,1,regular,fbs,401752665,Florida State,Alabama,2025-08-30T19:30:00+00:00,fanduel,spread,2025-08-30T07:30:39+00:00,2025-08-30T11:50:39+00:00,13.5,-102.0,-120.0,13.5,-102.0,-120.0,,,,,,
