player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Yilanan Ouattara,163722,DI,VANDERBILT,1,0,0,,0,0,333,0,0,,70.4,73.2,65.0,67.5,28.9,0,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,15,15,1,11,2,1,0,0,8,7,0,1,1,0,0,1,0,0,0,
Savion Riley,163725,S,GA TECH,1,0,0,100.0,0,0,176,0,0,55.4,48.6,72.3,,60.0,49.7,0,0,0,0,8,25.0,1,0,0,100.0,1,0,0,0,0,8,10,0,0,0,0,0,9,10,0,2,1,0,3,0,1,0,0,8,9,8.0
Nick Rinaldi,163726,LB,VANDERBILT,9,4,0,72.2,0,0,333,0,0,62.7,70.5,86.2,70.7,69.9,56.2,4,8,0,0,21,15.2,5,1,0,126.2,13,3,0,162,2,94,260,73,0,0,73,0,0,187,69,97,23,19,24,2,18,15,2,116,73,8.9
Jeffrey Ugochukwu,163729,S,COAST CAR,4,0,0,,0,0,141,0,0,65.3,59.1,74.6,59.1,51.0,25.9,0,0,0,0,,66.7,2,0,0,0.0,0,0,0,14,0,15,34,3,0,0,3,0,1,31,1,18,16,1,1,0,0,0,0,0,0,
Linus Zunk,163732,ED,VANDERBILT,9,1,0,100.0,0,0,333,0,0,53.0,63.8,84.0,67.4,60.2,37.0,0,8,0,0,8,27.3,3,0,0,87.5,2,1,0,1,0,10,166,162,4,18,127,13,0,4,92,64,3,6,7,1,2,9,0,10,13,5.0
Julio Humphrey,163742,CB,TEXAS A&M,7,4,0,50.0,0,0,312,0,0,71.1,71.8,78.8,,68.0,83.1,0,0,0,0,14,0.0,0,0,0,72.9,2,0,0,2,95,57,100,0,0,0,0,0,0,100,0,43,3,2,4,1,4,0,0,28,16,14.0
Marvin Jones Jr.,163745,ED,OKLAHOMA,9,5,0,100.0,0,0,261,0,0,61.5,59.2,11.5,60.0,62.6,75.0,2,7,0,0,9,11.8,2,0,3,104.2,1,2,0,3,0,37,284,281,0,20,228,33,0,3,138,109,0,10,10,3,1,11,0,9,6,9.0
E.J. Lightsey,163746,LB,GA TECH,9,23,0,60.0,0,0,176,0,0,57.4,65.3,84.0,49.2,74.6,68.8,0,5,0,0,35,11.9,8,0,0,78.5,12,0,0,352,1,201,423,14,0,0,14,0,0,409,37,185,55,20,36,0,20,5,0,127,64,10.6
Christen Miller,163747,DI,GEORGIA,8,0,0,,0,0,173,0,0,,81.1,83.8,67.2,85.0,43.9,1,6,0,0,,21.4,3,0,0,0.0,0,0,0,0,0,0,274,274,86,182,0,6,0,0,148,126,0,8,11,2,0,7,0,0,0,
Jaheim Singletary,163751,CB,ARKANSAS,8,2,0,45.5,0,0,111,0,0,62.1,62.0,0.0,,67.2,72.6,0,0,0,0,15,7.7,1,1,2,61.2,5,0,0,14,167,104,189,1,0,0,1,0,0,188,0,85,7,2,10,0,11,0,0,56,19,11.2
Darris Smith,163752,ED,MISSOURI,8,2,0,,0,0,229,0,0,61.7,57.5,3.7,56.1,66.1,53.1,2,16,0,0,,28.6,2,0,2,0.0,0,0,0,28,0,18,180,152,0,0,151,1,0,28,110,52,0,2,3,0,0,18,0,0,0,
Shannon Blair,163758,CB,MEMPHIS,4,2,0,60.0,0,0,218,0,0,55.3,54.9,77.4,,54.5,79.6,0,0,0,0,15,0.0,0,0,1,83.8,3,0,0,4,64,42,70,1,0,0,1,0,0,69,0,28,1,0,2,0,5,0,0,38,10,12.7
Ben Bolton,163759,LB,TENNESSEE,8,3,0,100.0,1,0,307,0,0,64.2,65.7,78.0,78.0,56.4,57.3,0,2,0,0,8,18.2,2,0,1,79.2,3,0,0,69,0,41,81,5,0,0,5,0,0,76,8,32,7,1,6,0,3,2,0,9,9,3.0
Christian Harrison,163763,S,CINCINNATI,9,12,0,66.7,1,0,138,0,0,70.6,67.4,36.0,,58.5,54.8,0,0,0,1,41,17.5,10,7,4,79.0,34,0,0,230,2,283,489,0,0,0,0,0,45,489,0,206,212,13,35,2,51,0,1,282,151,8.3
Jayson Jenkins,163767,ED,FLORIDA ST,8,1,0,,0,0,167,0,0,54.9,58.5,42.2,70.9,50.6,51.0,1,7,0,0,,20.0,1,0,1,0.0,0,2,0,0,0,1,177,177,2,16,131,28,0,0,89,87,0,2,3,0,0,10,0,0,0,
Joshua Josephs,163768,ED,TENNESSEE,9,5,1,50.0,0,3,307,2,1,55.6,81.9,59.8,89.4,72.5,47.8,3,19,0,0,8,24.1,7,0,1,60.4,1,5,0,10,0,25,311,296,0,1,291,4,0,15,160,126,5,17,17,2,2,27,0,8,16,8.0
Jordan Robinson,163791,CB,VIRGINIA,9,4,0,75.0,1,0,335,0,0,58.3,60.7,17.1,,75.3,66.7,0,0,0,0,30,11.5,3,3,2,132.8,18,0,0,11,286,171,314,10,0,0,10,0,2,304,0,143,5,7,19,2,24,0,2,233,45,12.9
Alex Afari Jr.,163793,LB,KENTUCKY,8,11,0,59.1,0,0,202,0,0,43.1,64.5,83.4,74.1,77.3,63.6,2,4,0,0,59,14.5,9,0,0,102.1,13,3,0,407,0,204,442,3,0,0,3,0,1,439,27,211,31,26,42,3,22,9,1,188,142,14.5
Keaten Wade,163794,ED,COLORADO,9,5,0,0.0,0,1,143,1,0,78.6,70.6,67.0,66.6,67.8,54.7,3,9,0,0,,18.2,6,1,1,39.6,0,3,0,3,0,9,405,402,0,9,384,9,0,3,188,208,0,15,22,4,1,15,0,0,0,
Noah Matthews,163797,ED,DELAWARE,8,3,0,,0,0,151,0,0,63.6,68.5,84.3,64.9,65.4,48.3,4,12,0,0,,18.2,4,0,0,0.0,0,1,0,1,0,1,268,267,0,16,192,59,0,1,155,112,0,15,15,2,0,17,0,0,0,
Tyreese Fearbry,163800,ED,WISCONSIN,8,0,0,,0,0,349,0,0,63.4,72.6,81.5,58.8,79.6,68.8,0,2,0,0,,12.5,1,0,0,0.0,0,1,0,0,0,4,67,67,0,0,67,0,0,0,34,29,0,7,7,0,0,3,0,0,0,
Jalen Dye,163806,S,KANSAS,5,1,0,50.0,0,2,198,0,0,63.9,78.2,79.0,89.5,87.4,70.8,0,0,0,0,22,11.1,1,0,0,68.8,2,1,0,33,0,41,97,0,0,0,0,0,42,97,3,53,22,3,7,0,4,1,0,24,6,12.0
Mason Ellis,163807,S,KANSAS,6,2,0,85.7,0,0,198,0,0,62.9,60.1,80.3,59.0,52.6,60.1,0,0,0,0,28,18.8,3,0,0,110.1,6,0,0,50,2,89,159,0,0,0,0,0,49,159,1,69,58,5,11,1,7,0,0,73,22,12.2
Dean Miller,163813,ED,KANSAS,8,12,0,83.3,0,0,198,0,0,75.6,71.1,88.1,64.5,66.0,70.2,5,7,0,0,10,10.3,3,0,0,79.9,5,1,0,35,0,47,271,219,0,0,218,1,0,52,104,120,17,10,14,2,6,13,0,19,28,3.8
Isaac Koch,163821,WR,KANSAS ST,1,0,0,,0,0,199,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Nickendre Stiger,163823,S,DOMINION,9,7,0,59.4,1,2,263,0,0,70.0,72.3,0.0,57.7,82.7,65.3,0,0,0,0,46,13.3,6,5,4,100.0,19,0,0,161,6,195,389,3,0,0,3,0,75,386,1,193,144,14,32,3,32,0,2,212,49,11.2
DJ McKinney,163824,CB,COLORADO,9,3,0,58.1,1,0,143,0,0,64.3,66.7,85.4,,72.3,54.3,0,0,0,1,32,20.0,9,4,3,92.5,18,0,0,50,506,289,598,12,0,0,12,0,1,586,0,309,29,7,33,1,31,0,2,253,81,14.1
Ethan Burke,163843,ED,TEXAS,9,6,0,,0,1,311,0,0,59.0,85.3,84.7,79.3,86.4,78.9,1,15,0,0,,4.2,1,0,0,0.0,0,3,0,1,0,14,279,278,4,45,207,22,0,1,165,100,0,17,17,4,0,19,0,0,0,
Graham Gillespie,163847,S,TEXAS,1,0,0,100.0,0,0,311,0,0,71.9,73.3,69.2,,60.0,75.1,0,0,0,0,1,0.0,0,0,0,79.2,1,0,0,0,0,4,6,0,0,0,0,0,0,6,0,2,6,1,1,0,1,0,0,1,1,1.0
Austin Jordan,163850,S,TCU,8,5,1,52.9,0,0,305,0,0,75.9,73.8,82.8,52.0,74.1,71.3,2,4,0,0,16,9.4,3,2,1,60.4,9,1,0,192,0,192,374,18,0,0,18,0,22,356,22,160,142,15,24,2,17,7,0,58,43,6.4
Zac Swanson,163862,DI,ARIZONA ST,2,1,0,,0,0,110,0,0,60.0,48.6,73.9,54.9,47.7,71.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,27,27,1,24,1,1,0,0,17,10,0,1,1,0,0,0,0,0,0,
