player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Rashawn Marshall,185259,HB,MAINE,8,82,14,7,38.2,194,0,508,1,1,14,282,56.1,14,20,212,1,34,71.2,78.0,82.2,,86.3,62.3,79.1,56.6,61,0,70,10,89,109,0,0,14,92,2,508,282,3.44,6.2,0.79,46
Chris Parson,172551,QB,AUSTINPEAY,8,82,28,2,13.1,62,0,191,0,0,12,125,67.9,12,30,116,7,18,45.4,80.4,73.7,75.8,,54.3,73.2,60.1,60,2,0,0,1,203,284,35,0,47,10,475,341,4.16,5.8,0.0,22
Davin Wydner,163672,QB,W GEORGIA,8,81,10,3,14.2,70,0,284,0,0,6,126,26.4,21,34,1177,3,24,56.2,62.7,75.0,53.9,,79.0,72.1,60.1,34,1,10,1,2,255,208,28,1,54,3,492,187,2.31,6.1,5.0,13
Ricky Parks,146431,HB,FORDHAM,8,81,11,5,33.0,111,0,336,1,1,11,207,34.1,9,14,168,0,16,85.7,67.6,82.6,,83.9,52.2,69.1,57.5,45,0,21,9,105,99,0,0,12,90,1,336,207,2.56,4.1,0.2,63
Reggie Graff,165710,QB,UTAHTC,9,80,15,4,22.4,91,0,348,0,0,11,218,48.9,12,19,1285,5,26,56.6,70.5,45.9,61.5,,,73.2,60.0,31,2,0,0,0,150,58,10,0,70,3,406,239,2.99,5.1,,31
Quintell Quinn,145895,HB,TENN TECH,9,79,28,9,52.4,324,0,618,0,0,28,449,196.5,21,29,309,0,33,85.7,87.6,81.5,,41.5,53.3,89.7,55.2,67,0,13,2,56,104,0,0,2,81,9,618,449,5.68,7.8,0.23,46
Jaylen Jennings,163107,HB,ARKAPB,7,79,7,7,38.7,190,0,486,0,2,7,212,29.1,12,28,112,0,41,85.6,72.9,24.5,,33.5,53.0,78.6,68.5,69,1,105,6,117,94,5,1,8,84,8,491,224,2.84,6.2,0.9,37
Ali Scott Jr.,172528,HB,BETH COOK,9,79,20,5,26.5,104,0,393,0,1,20,262,76.5,13,25,119,1,26,69.8,75.3,82.9,,38.3,62.4,79.2,55.0,26,0,66,12,98,105,0,0,12,91,5,393,262,3.32,5.0,0.67,52
Sincere Baines,201298,HB,MAINE,8,79,9,7,52.9,268,0,507,1,1,9,250,35.2,12,19,212,0,37,85.5,76.4,81.9,,67.2,59.7,78.5,56.3,77,0,45,11,77,96,0,0,13,90,2,507,250,3.16,6.4,0.58,42
Jamarie Hostzclaw,186083,HB,ALABAMA ST,7,79,12,6,26.1,103,0,394,0,2,12,236,48.6,13,24,105,1,22,70.1,74.9,19.2,,45.5,65.9,77.2,58.2,21,1,88,7,100,98,0,0,8,86,4,394,236,2.99,5.0,0.88,55
Jarel Washington,165123,HB,STHLSK,7,79,13,0,0.0,0,0,207,0,1,13,168,32.0,3,14,1470,1,52,70.6,61.7,22.7,,39.4,66.9,62.5,44.5,14,1,75,14,109,95,0,0,16,93,0,207,168,2.13,2.6,0.69,27
Tre Bradford,124088,HB,GRAMBLING,8,79,20,5,45.4,207,0,456,1,3,20,293,95.8,8,19,177,0,22,85.7,75.8,81.4,,68.1,62.4,76.3,57.9,76,0,77,10,61,94,0,0,15,89,1,456,293,3.71,5.8,1.26,56
Stone Earle,123504,QB,ABILENE CH,9,79,13,2,12.8,55,0,192,0,0,6,137,34.2,16,25,100,3,15,74.1,83.4,87.6,79.9,,,71.3,60.0,35,1,0,0,0,270,237,30,0,49,7,429,256,3.24,5.4,,17
Garrett Bass-Sulpizio,171137,QB,CORNELL,7,78,13,1,6.0,18,0,184,0,0,10,132,39.2,11,28,147,7,12,29.7,56.3,85.3,50.2,,54.3,65.4,60.0,19,1,0,0,1,199,117,20,0,58,6,301,221,2.83,3.9,0.0,19
Nate Glantz,157587,QB,LNDNWD,9,78,21,3,22.8,84,0,226,0,0,8,106,25.2,8,16,949,4,43,62.1,74.5,76.4,72.0,,60.0,67.2,60.0,59,1,0,0,1,262,142,20,0,58,6,368,213,2.73,4.7,0.0,3
Aziz Foster-Powell,170904,HB,RICHMOND,8,77,29,5,31.9,106,0,330,0,2,29,251,124.9,10,19,276,0,24,85.2,77.9,25.8,,68.7,77.4,76.5,67.5,27,1,50,6,72,141,2,1,9,82,2,332,254,3.3,4.3,0.69,50
Nathan Denney,151139,HB,TXGV,6,77,18,4,28.4,95,0,335,1,2,18,222,62.0,10,17,1445,1,39,69.3,65.0,81.8,,44.7,59.2,66.7,62.6,42,0,143,16,117,92,0,0,19,93,2,335,222,2.88,4.4,1.22,37
Ahmad Miller,172895,HB,JACKSON ST,7,77,30,6,41.7,223,0,535,0,2,30,350,181.8,16,27,194,0,26,85.8,84.7,81.8,,68.0,55.9,86.9,61.4,76,0,15,3,74,108,0,0,5,80,3,535,350,4.55,6.9,0.2,51
Josh Brown,181411,QB,MS VLY ST,8,76,18,0,0.0,0,0,53,0,0,9,104,53.1,13,23,228,2,19,72.3,58.1,72.6,54.8,,50.7,64.0,60.0,49,1,0,0,4,165,306,34,0,42,2,359,246,3.24,4.7,0.0,20
EJ Colson,190335,QB,INCAR WORD,8,76,17,2,9.0,37,0,132,0,0,3,76,20.9,12,28,189,2,8,72.2,71.6,74.5,65.8,,57.6,73.2,60.0,30,2,0,0,1,204,278,43,0,33,3,410,295,3.88,5.4,0.0,14
Patrick Boyd Jr.,177941,HB,W CAROLINA,9,75,16,7,46.9,188,1,401,3,9,16,283,94.3,9,20,344,2,16,55.5,64.0,0.0,,34.4,60.6,68.5,49.2,70,3,183,25,152,98,0,0,32,100,1,401,283,3.77,5.3,1.2,57
Cobey Thompkins,192469,QB,CITADEL,9,75,23,7,35.2,170,0,367,0,0,18,253,104.5,14,20,139,4,39,29.8,66.3,59.7,66.5,,,62.1,60.3,38,3,0,0,0,176,116,9,0,66,1,483,289,3.85,6.4,,9
Zack Simmons-Brown,210057,HB,TENN STATE,9,75,14,10,76.1,324,0,426,0,5,14,229,69.1,13,14,308,0,11,85.2,73.9,81.3,,49.2,68.4,75.9,46.3,71,0,37,9,80,93,0,0,10,84,2,426,229,3.05,5.7,0.46,63
