player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Davion Gause,183328,HB,N CAROLINA,8,40,7,2,25.9,42,0,162,0,2,7,116,55.5,6,10,245,1,23,80.9,66.8,81.0,,79.6,79.6,62.7,49.0,25,1,35,7,49,56,0,0,8,47,2,162,116,2.9,4.1,0.71,16
Nicholas Vattiato,145302,QB,MIDDLE TN,8,40,5,0,0.0,0,0,22,0,0,0,11,0.0,3,10,224,6,5,52.2,60.8,86.9,63.0,62.2,51.6,49.0,60.2,12,0,0,0,2,155,119,28,0,12,2,141,60,1.5,3.5,0.0,2
Kade Frew,173863,HB,AIR FORCE,8,40,9,0,0.0,0,0,190,1,2,9,86,50.3,8,10,101,0,19,81.1,64.4,85.8,,70.4,53.2,69.0,59.9,14,0,52,7,70,241,0,0,10,47,2,190,86,2.15,4.8,0.74,12
Ty Clark III,190943,HB,WAKE,8,40,12,0,0.0,0,0,125,0,7,12,102,96.9,2,11,339,0,17,81.2,69.3,81.7,,85.0,68.5,68.4,62.4,13,0,80,10,92,85,0,0,13,50,1,125,102,2.55,3.1,0.87,23
Adam Mohammed,183644,HB,WASHINGTON,8,40,11,3,33.5,64,0,191,0,5,11,129,103.2,3,9,340,0,6,81.6,77.5,80.6,,30.9,79.1,80.1,49.4,25,0,91,10,58,60,0,0,10,50,2,191,129,3.23,4.8,1.57,34
Dijon Stanley,176663,HB,NEW MEX ST,7,40,4,0,0.0,0,0,101,2,2,4,75,20.8,2,4,242,1,25,58.4,57.5,15.3,,35.7,56.5,60.8,59.3,13,1,78,14,96,50,0,0,16,54,0,101,75,1.88,2.5,0.81,14
Arnold Barnes III,169972,HB,TULANE,7,40,8,0,0.0,0,0,195,0,1,8,118,63.2,7,9,319,1,19,54.1,68.3,81.0,,75.7,66.8,66.4,63.8,14,0,16,2,33,67,0,0,2,42,0,195,118,2.95,4.9,0.48,20
Byron Cardwell Jr.,86353,HB,S DIEGO ST,6,40,12,6,50.4,117,0,232,0,4,12,164,145.8,8,13,284,0,18,81.0,83.0,78.4,,84.9,86.2,78.7,59.2,22,0,108,5,14,59,0,0,5,45,1,232,164,4.1,5.8,7.71,22
CJ Baxter,173153,HB,TEXAS,5,40,4,1,11.3,18,0,159,0,0,4,106,22.1,4,9,311,0,25,81.0,66.4,80.2,,22.5,64.9,68.2,59.8,18,0,28,8,44,45,0,0,8,48,0,159,106,2.65,4.0,0.64,15
Malachi Thomas,144107,HB,PURDUE,9,39,6,1,27.7,57,0,206,0,1,6,130,48.6,4,9,273,0,15,80.7,75.6,80.6,,76.8,80.0,74.2,56.9,57,0,93,9,65,58,0,0,10,48,0,206,130,3.33,5.3,1.43,24
Jaziun Patterson,156421,HB,IOWA,5,39,4,1,7.9,17,0,216,0,0,4,178,43.5,5,13,192,0,11,80.8,77.3,79.3,,45.0,74.5,77.7,41.8,17,0,9,3,20,48,0,0,3,42,0,216,178,4.56,5.5,0.45,28
Ofa Mataele,200038,HB,W MICHIGAN,7,39,7,2,23.5,43,0,183,0,0,7,106,44.2,4,13,347,0,20,80.8,67.9,0.0,,27.9,54.3,72.6,69.5,22,1,7,4,57,57,0,0,4,43,3,183,106,2.72,4.7,0.12,19
Ty Simpson,157008,QB,ALABAMA,8,39,12,0,0.0,0,0,13,0,0,1,13,5.1,4,12,103,4,8,51.8,84.5,50.8,83.1,,49.4,69.7,60.3,20,4,0,0,3,200,160,23,0,16,2,173,100,2.56,4.4,0.0,2
Ta'Quan Roberson,101625,QB,BUFFALO,8,39,6,1,18.4,40,0,107,0,0,4,67,50.7,8,12,126,4,13,53.2,63.7,49.0,63.1,,,62.1,60.1,40,6,0,0,0,203,110,16,0,23,2,217,83,2.13,5.6,,9
Jack Layne,158966,QB,NEW MEXICO,9,39,6,1,28.0,54,0,79,0,0,3,35,34.3,5,11,241,3,1,50.7,79.1,64.5,80.3,,31.0,61.7,60.2,54,2,2,1,4,250,114,22,2,18,2,193,88,2.26,4.9,0.5,2
Oscar Adaway III,100835,HB,S CAROLINA,9,38,8,1,17.6,23,0,131,1,4,8,99,69.5,2,7,289,0,19,80.7,62.8,80.9,,13.1,57.8,65.0,76.3,23,0,73,7,85,64,0,0,12,45,1,131,99,2.61,3.4,0.86,19
Andrew Burnette,205005,HB,LA TECH,6,38,6,1,35.8,67,0,187,0,0,6,139,56.3,3,10,208,0,19,80.5,72.0,79.9,,76.7,68.3,69.3,58.1,67,0,4,1,9,48,0,0,1,39,3,187,139,3.66,4.9,0.44,19
Robert Briggs,163425,HB,SO MISS,6,38,9,4,39.9,75,0,188,0,0,9,109,57.4,7,9,296,1,15,53.4,61.5,79.2,,19.9,64.1,65.0,45.1,24,0,46,7,51,46,0,0,8,45,1,188,109,2.87,4.9,0.9,19
Mason Heintschel,199088,QB,PITTSBURGH,6,38,8,0,0.0,0,0,11,0,0,0,7,0.0,8,10,268,4,3,46.4,60.8,70.5,63.3,,,51.8,60.1,36,1,0,0,0,151,211,26,0,12,1,222,86,2.26,5.8,,2
Cade Yacamelli,158712,HB,WISCONSIN,8,38,5,0,0.0,0,0,128,2,1,5,78,30.8,1,6,349,0,7,80.6,62.8,81.3,,69.7,35.4,67.1,66.1,12,0,26,2,36,60,0,0,6,40,0,128,78,2.05,3.4,0.72,29
Austyn Dendy,190215,HB,BOWL GREEN,2,38,5,1,10.3,16,0,155,0,0,5,109,37.7,1,9,122,0,24,80.5,70.2,77.7,,75.4,54.0,69.1,60.0,16,0,0,0,8,40,0,0,0,38,1,155,109,2.87,4.1,0.0,14
Jayden Denegal,158533,QB,S DIEGO ST,8,37,7,4,50.3,78,0,112,0,0,4,68,40.2,6,10,284,0,12,71.0,73.3,85.8,71.6,,54.3,63.2,60.3,29,0,0,0,1,254,43,11,1,26,1,155,90,2.43,4.2,0.0,6
Luke Altmyer,146802,QB,ILLINOIS,9,37,5,3,28.5,77,0,202,0,0,5,72,60.0,10,12,187,2,3,63.1,81.1,75.7,78.1,62.2,89.5,68.4,60.2,36,1,3,1,1,258,68,13,1,25,3,270,99,2.68,7.3,3.0,12
Elijah Tau-Tolliver,147785,HB,MICH STATE,9,37,10,2,48.9,107,0,219,1,0,10,183,112.4,4,6,223,0,12,81.0,68.4,0.0,,48.4,60.2,71.2,70.0,85,1,48,7,58,56,0,0,10,44,1,219,183,4.95,5.9,0.83,25
Jo'Shon Barbie,160174,HB,MARSHALL,5,37,9,1,20.6,28,0,136,0,0,9,89,52.8,3,10,214,0,6,80.3,65.7,79.9,,85.3,59.4,68.5,41.6,28,0,24,4,34,64,0,0,4,41,4,136,89,2.41,3.7,0.71,31
Xavier Williams,189698,HB,IOWA,6,37,5,4,47.8,118,0,247,0,2,5,116,51.0,5,9,192,0,9,80.3,69.5,79.5,,16.1,72.7,71.7,54.1,43,0,40,6,36,55,0,0,6,43,3,247,116,3.14,6.7,1.11,28
Frank Peasant,121817,HB,MEMPHIS,9,37,14,2,19.5,37,0,190,0,0,14,155,146.6,8,16,218,0,6,80.3,79.8,78.5,,83.1,59.6,80.1,57.6,19,0,1,3,23,51,0,0,3,40,6,190,155,4.19,5.1,0.04,31
Jason Patterson,184636,HB,KENTUCKY,7,37,6,2,29.9,46,0,154,0,4,6,98,53.0,5,8,202,0,20,80.5,71.3,79.7,,40.4,77.6,68.7,60.0,29,0,59,13,51,38,0,0,14,50,1,154,98,2.65,4.2,1.16,16
Jeremy Payne,183837,HB,TCU,6,36,6,2,34.7,51,0,136,0,7,6,104,76.6,4,8,305,0,29,80.3,65.9,81.5,,46.8,64.0,66.9,58.6,29,0,81,13,81,47,0,0,16,49,2,147,104,2.89,4.1,1.0,6
Jaden Nixon,144652,HB,UCF,8,36,4,5,80.0,336,0,420,1,1,4,73,22.0,8,11,323,1,11,61.3,74.6,82.0,,50.9,59.7,80.0,76.0,87,0,64,10,72,58,0,0,11,46,6,420,73,2.03,11.7,0.89,25
Makhilyn Young,156935,HB,VANDERBILT,9,36,4,7,77.7,303,0,390,0,3,4,174,75.2,7,14,333,0,28,80.2,82.6,82.2,,62.1,70.6,88.1,54.4,80,0,74,9,52,80,0,0,10,45,5,390,174,4.83,10.8,1.42,7
Cyncir Bowers,199540,HB,W VIRGINIA,7,36,3,4,50.9,86,0,169,0,2,3,76,26.4,4,8,343,1,10,52.9,64.2,79.3,,20.0,56.9,66.9,65.3,26,0,37,4,35,60,0,0,5,40,2,169,76,2.11,4.7,1.06,26
Quincy Craig,159061,HB,ARIZONA,8,36,4,3,44.2,103,0,233,1,4,4,84,41.5,6,11,109,1,12,56.8,65.4,10.7,,29.6,51.2,73.8,78.7,54,1,58,9,91,50,0,0,10,45,1,233,84,2.33,6.5,0.64,24
Dierre Hill Jr.,199870,HB,OREGON,8,36,17,9,71.4,255,0,357,0,4,17,268,400.9,12,15,264,0,19,80.2,90.3,78.2,,,66.8,88.9,59.1,66,0,23,3,19,51,0,0,4,39,3,357,268,7.44,9.9,1.21,16
Rickie Collins,172474,QB,SYRACUSE,6,36,16,1,7.1,15,0,33,0,0,1,11,9.1,9,10,304,2,0,51.1,49.0,66.6,46.9,,,59.7,60.1,24,1,0,0,0,108,178,25,0,11,1,211,144,4.0,5.9,,1
Jerrick Gibson,184509,HB,TEXAS,4,36,8,0,0.0,0,0,151,0,0,8,81,50.0,5,9,311,1,16,52.1,67.6,78.8,,30.6,53.7,68.7,57.5,14,0,0,0,20,46,0,0,0,36,1,151,81,2.25,4.2,0.0,19
Jahzae Kimbrough,171260,HB,KENT STATE,7,36,5,0,0.0,0,0,91,1,2,5,87,43.4,3,5,201,0,15,80.3,60.4,78.3,,45.6,51.3,63.0,58.9,12,0,23,3,44,40,0,0,6,39,0,91,87,2.42,2.5,0.52,21
Keyone Jenkins,170403,QB,FIU,8,35,8,0,0.0,0,0,29,0,0,1,16,4.9,7,8,166,8,6,32.7,58.2,50.2,58.9,,60.0,56.4,60.0,23,3,0,0,1,229,142,17,1,18,4,171,90,2.57,4.9,0.0,8
Branson Robinson,163749,HB,GA STATE,8,35,7,1,42.3,47,0,111,1,0,7,103,51.5,1,3,175,0,13,80.2,57.5,79.5,,25.7,47.8,61.9,54.5,47,1,22,5,54,50,0,0,6,40,0,111,103,2.94,3.2,0.41,22
Khristian Lando,189795,HB,JVILLE ST,8,35,3,3,35.3,48,0,136,1,2,3,86,34.1,3,9,196,0,11,80.2,65.4,79.1,,54.8,46.8,67.6,66.3,17,0,16,1,39,67,0,0,4,36,1,136,86,2.46,3.9,0.41,24
Dallan Hayden,162865,HB,COLORADO,7,35,6,3,37.3,63,0,169,0,0,6,126,58.4,5,8,143,0,13,80.2,69.1,79.2,,44.1,58.5,71.7,63.3,25,0,8,2,37,63,0,0,3,37,0,169,126,3.6,4.8,0.22,22
TJ Horton,173999,HB,BALL ST,7,35,7,0,0.0,0,0,135,1,2,7,95,56.8,4,6,117,0,16,80.3,70.4,81.0,,18.5,74.1,70.5,42.9,13,1,49,8,40,58,0,0,9,43,0,135,95,2.71,3.9,1.23,17
LJ Johnson Jr.,147003,HB,CAL,7,35,5,0,0.0,0,0,120,3,0,5,89,32.6,1,6,130,0,15,80.2,60.5,79.7,,66.3,30.5,69.4,47.7,12,0,18,4,51,41,0,0,11,39,2,120,89,2.54,3.4,0.35,20
Ajay Allen,156470,HB,TULSA,8,34,8,1,24.5,40,0,163,0,0,8,116,75.8,6,10,320,1,7,49.3,64.4,81.2,,47.1,53.5,68.1,62.0,40,0,18,2,52,55,0,0,8,36,1,163,116,3.41,4.8,0.35,27
Cutter Boley,184630,QB,KENTUCKY,7,34,3,0,0.0,0,0,19,0,0,0,12,0.0,5,9,202,6,3,34.9,56.9,85.6,57.4,,54.3,53.5,60.0,16,1,0,0,1,187,154,23,0,11,1,173,125,3.68,5.1,0.0,3
Dylan Edwards,171893,HB,KANSAS ST,3,34,8,3,51.7,106,0,205,0,0,8,154,97.9,8,11,199,0,17,80.5,69.9,79.5,,38.2,62.5,71.0,55.6,75,0,17,3,40,49,0,0,3,37,2,205,154,4.53,6.0,0.43,16
Kiefer Sibley,183481,HB,N TEXAS,5,34,16,5,64.7,141,0,218,0,1,16,164,227.8,6,11,251,0,10,79.8,75.0,80.3,,27.4,59.2,78.8,61.2,45,0,35,2,33,43,0,0,3,36,5,218,164,4.82,6.4,1.06,20
Solomon Beebe,190756,HB,UAB,8,34,14,3,46.6,116,0,249,3,10,14,227,276.3,6,11,321,0,13,63.1,83.6,83.3,,81.8,78.4,85.2,56.1,81,0,244,24,101,67,0,0,28,58,5,249,227,6.68,7.3,2.42,21
Floyd Chalk IV,167095,HB,S JOSE ST,4,34,10,1,11.5,16,1,139,0,0,10,116,94.8,4,9,285,1,10,51.4,71.6,0.0,,61.5,56.9,75.9,59.6,16,3,0,2,22,43,0,0,2,36,2,139,116,3.41,4.1,0.0,22
Lamar Sperling,171214,HB,BUFFALO,7,34,10,2,39.6,80,0,202,0,0,10,144,117.6,5,8,126,0,3,79.9,73.4,78.4,,18.2,71.5,72.3,77.6,63,0,13,2,24,47,0,0,2,36,1,202,144,4.24,5.9,0.54,31
Brandon Ramirez,173514,FB,FRESNO ST,9,34,12,3,31.9,52,0,163,1,0,12,105,97.5,6,17,169,0,25,80.0,84.0,80.9,,33.8,58.7,85.0,68.8,19,0,52,4,23,71,0,0,5,38,2,163,105,3.09,4.8,2.26,9
Malachi Singleton,172426,QB,PURDUE,8,34,2,2,30.7,58,0,156,0,0,1,126,13.1,6,9,273,1,23,77.9,69.8,78.1,65.0,,,67.0,60.3,40,0,0,0,0,49,33,3,0,31,1,189,154,4.53,5.6,,7
Sesi Vailahi,174313,HB,OKLA STATE,6,34,3,0,0.0,0,0,118,1,2,3,71,26.1,3,8,262,2,7,27.7,54.7,79.3,,50.7,51.6,54.2,74.7,14,0,35,6,40,41,0,0,9,40,2,118,71,2.09,3.5,0.88,27
Jevon Edwards,198291,HB,COAST CAR,8,34,11,5,61.4,127,0,207,1,2,11,109,109.7,6,8,141,1,11,52.8,55.5,79.6,,60.0,46.1,60.6,44.9,43,1,14,4,30,64,0,0,5,38,1,207,109,3.21,6.1,0.47,23
Marquise Davis,198879,HB,MISSOURI,3,34,15,5,44.5,89,0,200,0,0,15,104,134.9,8,13,229,0,15,79.8,86.7,78.5,,,54.6,83.7,59.4,23,0,0,0,6,37,0,0,0,34,2,200,104,3.06,5.9,0.0,19
Vaughn Blue,174921,HB,LIBERTY,6,33,1,2,20.5,31,0,151,0,0,1,62,5.1,4,5,206,0,23,79.8,63.5,0.0,,57.4,58.7,66.7,54.7,16,1,12,4,37,64,0,0,6,37,1,151,62,1.88,4.6,0.32,9
Iverson Howard,198726,HB,MARYLAND,7,33,7,0,0.0,0,0,110,1,0,7,86,52.1,1,4,215,0,18,60.4,64.2,78.0,,27.7,44.1,68.9,59.5,10,0,3,2,18,37,0,0,3,35,0,110,86,2.61,3.3,0.17,15
Tyrell Reed Jr.,190174,HB,LA MONROE,7,33,10,3,38.7,53,0,137,0,0,10,110,101.0,4,6,209,0,9,80.0,78.9,79.4,,62.2,55.3,77.3,59.1,19,0,0,0,11,39,0,0,0,33,0,137,110,3.33,4.2,0.0,19
Drew Mestemaker,190616,QB,N TEXAS,9,33,3,0,0.0,0,0,31,0,0,1,32,8.0,5,8,251,2,7,63.9,88.6,87.7,87.3,,,63.3,60.1,31,0,0,0,0,263,102,13,0,20,4,133,66,2.0,4.0,,5
Justin Marshall,173460,HB,COLO STATE,7,33,14,2,41.0,91,0,222,2,5,14,169,263.0,6,8,144,1,14,50.2,76.2,78.6,,9.8,48.3,82.8,70.1,73,0,47,4,41,42,0,0,7,37,1,222,169,5.12,6.7,1.15,19
Jacob Clark,101628,QB,MO STATE,7,33,4,0,0.0,0,0,12,0,0,1,6,4.5,7,10,230,2,0,67.5,74.7,71.0,73.1,,89.1,62.1,60.0,14,1,29,1,1,142,144,22,1,12,2,156,79,2.39,4.7,29.0,5
Matthew Sluka,143059,QB,JAMES MAD,6,33,11,1,12.7,18,0,129,0,0,11,91,97.8,3,11,197,0,26,78.6,78.4,76.5,55.2,62.2,,76.6,60.0,18,0,0,0,0,45,13,1,0,32,2,142,99,3.0,4.3,,2
Christian Clark,184505,HB,TEXAS,6,33,7,0,0.0,0,0,130,0,2,7,59,43.5,3,9,311,0,16,79.6,64.9,80.0,,53.1,66.6,63.7,71.8,13,0,57,4,49,40,0,0,7,37,1,130,59,1.79,3.9,1.16,17
Joe Fagnano,104768,QB,UCONN,9,33,6,0,0.0,0,0,10,0,0,0,6,0.0,3,11,146,1,0,70.8,90.2,87.4,87.1,62.2,55.9,75.0,60.3,38,0,0,0,1,242,120,17,0,16,2,130,92,2.79,3.9,0.0,4
Jaquez Moore,143866,HB,DUKE,7,33,6,3,48.6,86,0,177,1,3,6,97,71.5,5,6,154,0,6,79.8,71.1,77.8,,82.5,57.1,73.7,39.1,32,0,44,4,36,35,0,0,7,37,1,177,97,2.94,5.4,1.22,26
Stacy Sneed,123680,HB,HOUSTON,6,33,7,1,12.3,16,0,130,1,0,7,87,48.6,5,7,182,0,11,79.8,61.7,80.0,,15.8,53.3,67.3,52.6,16,0,29,5,39,52,0,0,7,38,0,130,87,2.64,3.9,0.74,22
Carson Smith,171016,HB,ARMY,6,33,1,0,0.0,0,0,129,1,0,1,71,6.5,1,8,114,0,7,79.7,58.8,82.4,,44.2,29.5,61.5,61.8,10,0,0,0,6,117,0,0,1,33,1,129,71,2.15,3.9,0.0,3
Danny O'Neil,184200,QB,WISCONSIN,6,33,4,1,12.7,17,0,89,0,0,2,43,19.5,3,11,349,1,10,76.2,52.7,61.0,47.2,,57.6,64.7,60.1,17,1,0,0,1,121,45,12,0,21,1,134,79,2.39,4.1,0.0,6
Justin Williams-Thomas,157610,HB,MARSHALL,8,32,2,2,31.8,54,0,170,0,3,2,79,35.3,3,7,214,0,4,79.5,71.0,79.4,,60.4,68.7,73.6,46.7,37,1,41,3,41,65,0,0,5,35,2,170,79,2.47,5.3,1.0,28
Jaylon Glover,158484,HB,UNLV,8,32,8,2,43.7,80,0,183,0,0,8,116,82.9,4,6,325,0,19,80.5,63.9,79.2,,62.2,52.5,65.9,58.2,43,0,29,3,34,45,0,0,4,35,0,183,116,3.63,5.7,0.85,13
Cartevious Norton,157582,HB,USF,5,32,7,2,34.9,58,0,166,0,4,7,102,103.1,4,7,327,1,17,47.7,72.4,79.7,,80.1,44.8,76.6,53.8,37,0,27,2,36,49,0,0,2,34,2,166,102,3.19,5.2,0.75,14
Damari Alston,157037,HB,AUBURN,4,32,9,1,11.7,15,0,128,0,1,9,97,84.2,4,12,115,0,17,79.6,65.4,79.9,,53.6,60.8,67.8,54.5,15,0,29,4,42,50,0,0,4,36,1,128,97,3.03,4.0,0.69,14
Amari Daniels,146991,HB,TEXAS A&M,8,32,1,0,0.0,0,0,110,0,0,1,57,5.2,1,3,312,0,14,79.7,65.1,78.5,,25.6,60.1,67.5,69.8,13,0,21,2,26,38,0,0,2,34,0,110,57,1.78,3.4,0.81,18
Zuberi Mobley,145187,HB,TULANE,7,32,12,2,27.0,44,0,163,0,1,12,107,127.8,4,6,319,0,14,79.5,70.0,80.0,,77.2,55.7,73.4,55.6,28,0,6,2,45,47,0,0,2,34,2,163,107,3.34,5.1,0.13,18
Gideon Ituka,183661,HB,WISCONSIN,4,32,5,2,23.3,35,0,150,0,0,5,88,43.0,3,8,349,1,10,48.7,73.0,0.0,,25.3,57.2,78.1,55.2,18,2,0,0,10,43,0,0,0,32,0,150,88,2.75,4.7,0.0,22
Josh McCray,144799,HB,GEORGIA,8,32,3,1,19.5,17,0,87,0,0,3,74,21.7,1,8,173,0,11,79.8,68.8,76.6,,75.6,53.7,69.6,49.6,17,0,0,0,16,38,0,0,1,32,3,87,74,2.31,2.7,0.0,20
Dexter Williams II,129457,QB,KENNESAW,6,32,6,1,11.0,16,0,99,0,0,5,44,41.6,7,10,200,1,10,76.7,62.4,82.5,55.1,,,70.8,60.0,16,1,0,0,0,110,46,9,0,23,2,145,72,2.25,4.5,,4
Ramone Green Jr.,171449,HB,MO STATE,8,32,9,3,49.2,87,0,177,0,8,9,121,126.0,6,7,230,0,20,79.4,79.0,81.5,,39.7,89.3,80.3,57.5,45,0,303,19,87,41,0,0,25,51,0,177,121,3.78,5.5,3.48,11
D'Shawntae Jones,188283,HB,MIAMI OH,7,32,7,2,39.9,67,0,168,0,0,7,126,86.1,2,15,221,0,2,79.5,80.7,75.4,,66.6,60.0,78.4,53.7,46,0,0,0,1,41,0,0,0,32,4,168,126,3.94,5.3,0.0,30
CJ Carr,184093,QB,NOTRE DAME,8,31,3,1,29.2,28,0,56,0,0,1,22,3.3,4,8,258,2,8,71.8,83.8,73.4,83.1,,,63.6,60.5,28,4,0,0,0,253,40,5,0,26,2,96,35,1.13,3.1,,3
Dante Moore,173983,QB,OREGON,8,31,2,0,0.0,0,0,52,0,0,0,17,0.0,5,12,264,2,5,66.8,87.0,85.8,84.8,,,69.4,60.2,35,1,0,0,0,200,142,18,0,13,0,194,58,1.87,6.3,,2
Antonio Harris,190906,HB,PURDUE,8,31,6,5,68.0,140,0,206,0,0,6,112,55.6,5,9,273,0,18,79.5,78.9,79.9,,21.8,77.7,79.7,85.1,41,0,88,8,38,42,0,0,10,39,2,206,112,3.61,6.6,2.32,13
Daniel Bray,199445,HB,UTAH,5,31,13,6,56.9,140,0,246,0,4,13,94,139.3,10,14,328,0,26,79.4,73.1,8.4,,65.2,59.5,79.3,60.1,49,1,57,6,49,79,0,0,8,37,1,246,94,3.03,7.9,1.16,3
Joe Labas,144847,QB,C MICHIGAN,9,31,1,0,0.0,0,0,66,0,0,1,52,5.8,1,4,134,4,15,51.4,77.6,84.3,76.1,,60.0,63.5,60.3,10,1,0,0,1,210,7,1,0,30,0,73,52,1.68,2.4,0.0,8
Aidan Armenta,175731,QB,LA MONROE,8,30,3,0,0.0,0,0,68,0,0,1,27,6.1,2,5,209,2,13,57.0,60.1,71.6,59.0,,45.0,61.2,60.2,41,5,0,0,3,215,78,9,0,21,1,146,51,1.7,4.9,0.0,2
Preston Stone,124716,QB,NWESTERN,8,30,4,1,29.4,30,0,31,0,0,1,23,7.1,4,9,256,6,1,35.4,59.8,75.1,58.3,,54.3,60.9,60.3,30,1,0,0,1,273,71,12,0,18,0,102,76,2.53,3.4,0.0,3
Deuce Bailey,198907,QB,MO STATE,3,30,2,1,14.9,15,0,31,0,0,1,13,2.7,6,9,230,3,7,25.9,58.9,78.7,57.9,,,59.6,60.0,20,0,0,0,0,47,70,8,0,22,1,101,56,1.87,3.4,,6
Jayden Maiava,158135,QB,USC,8,30,4,3,32.0,47,0,93,0,0,3,55,28.6,7,14,326,1,7,69.4,85.0,86.6,81.2,,60.0,72.8,60.3,17,3,0,0,1,238,54,6,0,24,5,147,97,3.23,4.9,0.0,9
Drew Allar,164157,QB,PENN STATE,6,30,5,1,9.6,20,0,31,0,2,0,33,60.0,10,14,266,1,6,67.6,73.4,84.5,67.6,,60.0,74.8,60.3,27,0,5,1,1,157,178,20,1,11,1,209,142,4.73,7.0,5.0,1
Grayson James,145214,QB,BOSTON COL,5,30,3,0,0.0,0,0,61,0,0,1,33,8.3,1,4,121,1,10,64.2,58.5,82.9,55.0,,,64.3,60.0,20,2,0,0,0,106,56,10,0,20,0,117,51,1.7,3.9,,2
Josh Hoover,127148,QB,TCU,8,30,0,0,0.0,0,0,-7,0,0,0,6,0.0,5,7,305,5,1,54.0,72.9,64.3,74.0,,57.6,54.1,60.2,13,2,0,0,1,215,89,12,0,18,2,82,30,1.0,2.7,0.0,3
Ben Finley,122864,QB,AKRON,9,30,6,1,22.0,38,0,82,0,0,3,63,58.3,5,7,102,3,2,69.0,74.4,87.2,72.9,,54.3,62.7,60.1,38,1,0,0,1,244,91,12,0,18,2,173,125,4.17,5.8,0.0,6
Cam Davis,72376,HB,MINNESOTA,9,29,3,0,0.0,0,0,98,1,3,3,70,30.8,1,4,225,0,9,79.1,64.8,81.8,,44.1,70.1,64.6,60.0,14,0,119,18,89,31,0,0,20,47,2,98,70,2.41,3.4,1.34,19
Tucker Gleason,122475,QB,TOLEDO,8,29,9,1,22.4,35,0,103,0,0,5,52,72.0,5,9,316,6,4,41.9,89.2,59.0,90.0,,,61.0,60.0,35,3,0,0,0,206,53,10,0,19,3,156,92,3.17,5.4,,6
Conner Harrell,156352,QB,CHARLOTTE,4,29,5,2,40.4,36,0,45,0,0,4,37,33.6,4,6,136,2,6,45.5,72.3,81.9,73.6,,57.0,59.8,60.0,19,0,0,0,0,100,44,8,0,21,2,89,57,1.97,3.1,,6
Nathan McNeil,198550,HB,IOWA,7,29,7,2,30.6,41,0,134,0,0,7,98,67.6,4,5,192,0,10,78.9,75.1,77.6,,12.2,65.8,77.0,58.2,24,0,48,6,26,33,0,0,6,35,0,134,98,3.38,4.6,1.85,19
Sam Jackson V,144682,QB,OKLA STATE,9,29,5,0,0.0,0,0,9,1,0,2,20,10.9,1,4,262,4,10,42.4,51.1,34.1,47.7,,63.9,50.5,55.5,12,4,64,7,76,142,52,13,14,23,1,61,47,1.62,2.1,0.84,3
DJ Lagway,184426,QB,FLORIDA,8,29,14,1,21.0,26,0,62,0,0,5,50,127.6,2,7,163,4,4,49.4,62.3,86.5,58.7,,60.0,67.8,60.3,26,0,0,0,1,205,62,15,0,14,0,124,142,4.9,4.3,0.0,5
Adam Hill,191350,HB,TEXAS TECH,5,29,6,6,60.8,129,0,212,0,0,6,153,105.5,9,9,315,1,7,44.4,67.4,77.6,,76.9,53.6,70.2,47.8,36,0,1,1,25,42,0,0,1,30,0,212,153,5.28,7.3,0.04,22
Ju'Juan Johnson,184458,HB,LSU,8,29,5,2,46.2,72,0,156,0,4,5,107,81.0,3,7,211,2,6,28.2,58.8,81.9,,50.8,61.2,58.2,53.5,56,0,58,12,103,53,0,0,13,41,2,156,107,3.69,5.4,0.56,23
Connor Walendzak,171392,HB,TOLEDO,6,29,6,0,0.0,0,0,90,1,0,6,80,50.2,1,5,316,0,15,78.9,62.1,78.7,,85.8,47.0,64.8,56.7,11,0,21,4,45,38,0,0,6,33,0,90,80,2.76,3.1,0.47,14
Samuel Singleton Jr.,170356,HB,FLORIDA ST,5,29,7,6,68.2,176,0,258,0,0,7,124,103.2,7,10,167,0,5,79.0,87.5,75.9,,67.7,55.0,84.7,58.6,53,0,0,0,7,35,0,0,0,29,4,258,124,4.28,8.9,0.0,21
Tye Edwards,158816,HB,W VIRGINIA,4,28,7,2,32.4,45,0,139,0,0,7,96,85.7,5,12,343,0,10,78.9,72.6,77.2,,81.6,53.7,73.6,48.7,27,0,0,0,13,42,0,0,0,28,3,139,96,3.43,5.0,0.0,18
James Simon,199289,HB,TEXAS,3,28,5,1,12.6,16,0,127,0,0,5,92,54.8,4,8,311,0,14,78.7,67.3,77.4,,73.5,65.9,66.4,57.4,16,0,2,2,10,35,0,0,2,30,0,127,92,3.29,4.5,0.2,14
Nicco Marchiol,157363,QB,W VIRGINIA,4,28,5,0,0.0,0,0,71,0,0,3,58,36.0,4,8,343,1,11,76.6,69.7,82.3,68.3,,,62.1,60.0,12,1,0,0,0,111,32,6,0,22,1,103,81,2.89,3.7,,6
