player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Keyone Jenkins,170403,QB,FIU,8,72.2,209,226,8.2,2.8,5,5,2.1,62.8,142,0,88,6.0,258,9,78,166,32.7,58.2,58.9,56.4,2,4,271,3,15.9,81.8,5.4,14,17,1,9,6,13,4.8,1402,6.2
Marcel Reed,175940,QB,TEXAS A&M,8,70.1,214,224,10.3,2.97,4,12,5.1,61.2,137,0,64,8.7,258,13,107,312,62.8,73.1,71.2,65.6,1,6,273,3,7.8,103.9,1.9,5,29,0,5,17,9,3.3,1972,8.8
Demond Williams Jr.,183648,QB,WASHINGTON,8,79.9,209,223,8.6,3.05,3,8,3.5,73.1,163,0,103,2.4,281,4,115,340,65.9,81.3,75.8,75.4,4,4,286,1,16.5,116.0,6.0,17,41,0,7,14,5,1.7,2117,9.5
Brad Jackson,184354,QB,TEXAS ST,8,77.1,205,223,10.0,2.63,5,14,6.0,66.8,149,0,67,5.7,275,9,90,314,50.8,74.7,69.2,71.0,1,5,289,0,23.9,100.6,5.8,16,33,3,9,10,10,3.5,1991,8.9
Haynes King,124329,QB,GA TECH,8,81.6,207,222,6.9,2.55,3,10,4.3,71.2,158,0,67,6.5,236,11,85,176,58.7,90.2,86.7,76.6,1,2,248,0,10.4,106.4,3.0,7,7,3,8,9,0,0.0,1877,8.5
Jake Retzlaff,70874,QB,TULANE,8,72.0,207,220,8.9,2.77,5,5,2.2,59.1,130,0,83,12.8,246,19,96,319,56.6,80.9,75.5,75.1,1,3,258,1,6.0,87.0,2.0,5,20,1,6,7,11,4.3,1622,7.4
Bryce Underwood,198795,QB,MICHIGAN,9,72.9,210,220,8.4,2.69,7,6,2.6,60.9,134,0,71,12.4,256,19,88,222,41.9,70.0,69.6,59.4,1,3,266,0,15.5,89.4,4.3,11,23,0,2,7,7,2.6,1671,7.6
Tucker Gleason,122475,QB,TOLEDO,8,77.8,203,220,9.4,2.84,4,13,5.7,64.1,141,0,81,10.8,238,17,82,316,41.9,89.2,90.0,61.0,2,5,248,3,9.9,98.3,3.4,8,10,1,10,13,6,2.4,1721,7.8
Julian Sayin,183708,QB,OHIO STATE,8,86.1,208,218,8.6,2.8,2,12,5.3,80.7,176,0,55,1.7,231,3,105,260,77.4,93.1,93.2,60.4,1,3,240,1,9.1,137.9,2.2,5,7,0,7,23,3,1.3,2189,10.0
Preston Stone,124716,QB,NWESTERN,8,67.5,206,216,10.3,2.77,5,10,4.3,58.3,126,0,61,9.4,240,13,72,256,35.4,59.8,58.3,60.9,1,9,254,1,19.7,75.2,5.0,12,12,0,4,10,16,6.3,1372,6.4
