captured_at,game_id,home_team,away_team,commence_time,bookmaker,market,point_home,point_away,price_home,price_away,price_draw,last_update,source
2025-11-07T22:10:17Z,401756943,Arizona,Kansas,2025-11-08 20:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756943,Arizona,Kansas,2025-11-08 20:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756943,Arizona,Kansas,2025-11-08 20:30:00+00:00,Fanatics,moneyline,,,-200.0,165.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754590,UConn,Duke,2025-11-08 20:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754590,UConn,Duke,2025-11-08 20:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754590,UConn,Duke,2025-11-08 20:30:00+00:00,Fanatics,moneyline,,,260.0,-330.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752898,Iowa,Oregon,2025-11-08 20:30:00+00:00,Fanatics,spread,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752898,Iowa,Oregon,2025-11-08 20:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752898,Iowa,Oregon,2025-11-08 20:30:00+00:00,Fanatics,moneyline,,,205.0,-255.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756944,TCU,Iowa State,2025-11-08 20:30:00+00:00,Fanatics,spread,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756944,TCU,Iowa State,2025-11-08 20:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401756944,TCU,Iowa State,2025-11-08 20:30:00+00:00,Fanatics,moneyline,,,-285.0,230.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754587,Miami,Syracuse,2025-11-08 20:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754587,Miami,Syracuse,2025-11-08 20:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754587,Miami,Syracuse,2025-11-08 20:30:00+00:00,Fanatics,moneyline,,,-8000.0,2500.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752763,Missouri,Texas A&M,2025-11-08 20:30:00+00:00,Fanatics,spread,,,-115.0,-105.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752763,Missouri,Texas A&M,2025-11-08 20:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752763,Missouri,Texas A&M,2025-11-08 20:30:00+00:00,Fanatics,moneyline,,,220.0,-275.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761645,Coastal Carolina,Georgia State,2025-11-08 21:00:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761645,Coastal Carolina,Georgia State,2025-11-08 21:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761645,Coastal Carolina,Georgia State,2025-11-08 21:00:00+00:00,Fanatics,moneyline,,,-300.0,240.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757298,New Mexico State,Kennesaw State,2025-11-08 21:00:00+00:00,Fanatics,spread,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757298,New Mexico State,Kennesaw State,2025-11-08 21:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401757298,New Mexico State,Kennesaw State,2025-11-08 21:00:00+00:00,Fanatics,moneyline,,,275.0,-350.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752764,Vanderbilt,Auburn,2025-11-08 21:01:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752764,Vanderbilt,Auburn,2025-11-08 21:01:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752764,Vanderbilt,Auburn,2025-11-08 21:01:00+00:00,Fanatics,moneyline,,,-235.0,190.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754588,North Carolina,Stanford,2025-11-08 21:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754588,North Carolina,Stanford,2025-11-08 21:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401754588,North Carolina,Stanford,2025-11-08 21:30:00+00:00,Fanatics,moneyline,,,-310.0,245.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752899,Wisconsin,Washington,2025-11-08 21:30:00+00:00,Fanatics,spread,,,-110.0,-110.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752899,Wisconsin,Washington,2025-11-08 21:30:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401752899,Wisconsin,Washington,2025-11-08 21:30:00+00:00,Fanatics,moneyline,,,325.0,-425.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761648,Louisiana,Texas State,2025-11-08 22:00:00+00:00,Fanatics,spread,,,-105.0,-115.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761648,Louisiana,Texas State,2025-11-08 22:00:00+00:00,Fanatics,total,,,,,,2025-11-07 22:07:56+00:00,TheOddsAPI
2025-11-07T22:10:17Z,401761648,Louisiana,Texas State,2025-11-08 22:00:00+00:00,Fanatics,moneyline,,,125.0,-150.0,,2025-11-07 22:07:56+00:00,TheOddsAPI
