season,date,week,season_type,home_team,away_team,actual_home_points,actual_away_points,actual_margin,actual_total,pred_home_points,pred_away_points,pred_spread,pred_total,pred_home_win_prob,spread_error,total_error,brier
2024,2024-10-12T18:00:00.000Z,7,regular,BETH COOK,MCNEESE,59.0,0.0,59.0,59.0,36.45360508021329,25.615111366295523,10.838493713917767,62.068716446508816,0.7509257584228415,-48.16150628608223,3.068716446508816,0.062037977817236724
2024,2024-10-12T18:00:00.000Z,7,regular,CENT ARK,SOUTHERN U,28.0,38.0,-10.0,66.0,38.68709444140036,19.16665907228048,19.52043536911988,57.85375351368084,0.8887727200439277,29.52043536911988,-8.146246486319157,0.7899169478942819
2024,2024-10-12T18:00:00.000Z,7,regular,COLGATE,MAINE,14.0,30.0,-16.0,44.0,30.10321181685693,25.210472946357978,4.8927388704989525,55.31368476321491,0.6201200811943198,20.892738870498953,11.313684763214908,0.3845489151004498
2024,2024-10-12T18:00:00.000Z,7,regular,DAVIDSON,ILL STATE,24.0,19.0,5.0,43.0,32.39541126570276,33.79935890097714,-1.4039476352743732,66.1947701666799,0.4650389899437464,-6.403947635274373,23.194770166679902,0.28618328228040707
2024,2024-10-12T18:00:00.000Z,7,regular,INDIANA ST,ILL STATE,38.0,17.0,21.0,55.0,33.5817400790455,29.49504974199931,4.0866903370461936,63.07678982104481,0.6007999215256278,-16.913309662953807,8.076789821044812,0.15936070265394495
2024,2024-10-12T18:00:00.000Z,7,regular,DRAKE,BUTLER,27.0,17.0,10.0,44.0,33.317846375626864,19.719251217137177,13.598595158489688,53.03709759276404,0.8023130481723078,3.5985951584896885,9.037097592764042,0.03908013092292432
2024,2024-10-12T18:00:00.000Z,7,regular,UC DAVIS,JACKSON ST,13.0,20.0,-7.0,33.0,32.65944853409991,27.68814569101739,4.971302843082523,60.3475942251173,0.621988094817334,11.971302843082523,27.347594225117298,0.38686919009449683
2024,2024-10-12T18:00:00.000Z,7,regular,CORNELL,MONMOUTH,7.0,49.0,-42.0,56.0,28.403892083640798,36.14258890066971,-7.738696817028913,64.5464809843105,0.31431055789273077,34.26130318297109,8.546480984310506,0.09879112680283966
2024,2024-10-12T18:00:00.000Z,7,regular,HAMPTON,W ILLINOIS,42.0,21.0,21.0,63.0,30.52570129190734,24.21775371590647,6.307947576000873,54.74345500781381,0.6533005535415749,-14.692052423999126,-8.256544992186193,0.12020050617457836
2024,2024-10-12T18:30:00.000Z,7,regular,ILL STATE,E KENTUCKY,20.0,24.0,-4.0,44.0,32.361513849371406,17.304167477821068,15.057346371550345,49.66568132719247,0.8266691308711228,19.057346371550345,5.665681327192473,0.6833818519352176
2024,2024-10-12T18:30:00.000Z,7,regular,W CAROLINA,CITADEL,30.0,16.0,14.0,46.0,40.45173160478527,15.224742800279635,25.226988804505634,55.67647440506491,0.9425661954594862,11.226988804505634,9.676474405064909,0.0032986419039979474
2024,2024-10-12T19:00:00.000Z,7,regular,S ILLINOIS,N DAK ST,3.0,24.0,-21.0,27.0,20.806808211901576,36.462201228971885,-15.655393017070306,57.26900944087346,0.1639229226744588,5.344606982929694,30.26900944087346,0.026870724578136596
2024,2024-10-12T19:00:00.000Z,7,regular,SOUTHERN U,TENN STATE,21.0,48.0,-27.0,69.0,26.45880068226677,23.985581076616953,2.473219605649817,50.44438175888372,0.5614222929456533,29.473219605649817,-18.555618241116278,0.3151949910163549
2024,2024-10-12T19:00:00.000Z,7,regular,S DAK ST,YNGTOWN ST,63.0,13.0,50.0,76.0,22.398210932994722,30.5113535009773,-8.113142567982575,52.90956443397202,0.3060523570321362,-58.11314256798258,-23.090435566027978,0.4815633311806538
2024,2024-10-12T19:00:00.000Z,7,regular,ALABAMA ST,MS VLY ST,54.0,17.0,37.0,71.0,34.927099482205385,20.572984149776403,14.354115332428979,55.50008363198179,0.815175813020371,-22.64588466757102,-15.499916368018212,0.034159980092680856
2024,2024-10-12T19:00:00.000Z,7,regular,ILL STATE,N COLORADO,14.0,35.0,-21.0,49.0,35.115976984071864,24.43322689591391,10.68275008815796,59.549203879985775,0.7478284683844612,31.68275008815796,10.549203879985775,0.559247418126249
2024,2024-10-12T19:00:00.000Z,7,regular,COLGATE,ILL STATE,32.0,21.0,11.0,53.0,31.027406015105733,33.5372392569757,-2.509833241869969,64.56464527208144,0.437675788578657,-13.50983324186997,11.564645272081435,0.31620851875063516
2024,2024-10-12T19:00:00.000Z,7,regular,MORGAN ST,MERRIMACK,24.0,32.0,-8.0,56.0,21.39656119632167,17.954377992342195,3.4421832039794786,39.350939188663865,0.5851695319944572,11.442183203979479,-16.649060811336135,0.3424233811746121
2024,2024-10-12T19:00:00.000Z,7,regular,ALAB A&M,BETH COOK,56.0,12.0,44.0,68.0,34.99809344355135,31.641506298325872,3.3565871452254745,66.63959974187722,0.58308292169029,-40.643412854774525,-1.3604002581227803,0.1738198501863049
2024,2024-10-12T19:00:00.000Z,7,regular,S DAKOTA,N IOWA,42.0,17.0,25.0,59.0,29.462369070334194,19.335749828290485,10.126619242043711,48.79811889862468,0.7366050004539457,-14.873380757956289,-10.20188110137532,0.06937692578586593
2024,2024-10-12T19:00:00.000Z,7,regular,SCAR STATE,N COLORADO,10.0,52.0,-42.0,62.0,29.734196446677434,19.0270773752794,10.707119071398031,48.761273821956834,0.7483144338206511,52.70711907139803,-13.238726178043166,0.5599744918643216
2024,2024-10-12T19:00:00.000Z,7,regular,NICHOLLS,STF AUSTIN,17.0,35.0,-18.0,52.0,24.353003982172922,13.266534698071816,11.086469284101105,37.61953868024474,0.7558152039954905,29.086469284101106,-14.380461319755263,0.571256622590745
2024,2024-10-12T19:00:00.000Z,7,regular,HOUCHR,SE LA,7.0,37.0,-30.0,44.0,24.227653734375465,13.689188278681208,10.53846545569426,37.91684201305667,0.7449410401072082,40.53846545569426,-6.083157986943327,0.5549371532360091
2024,2024-10-12T19:00:00.000Z,7,regular,ROB MORRIS,DELWARE ST,23.0,0.0,23.0,23.0,29.320977401243262,27.064474978564014,2.2565024226792474,56.385452379807276,0.5560774322429374,-20.743497577320753,33.385452379807276,0.19706724616402385
2024,2024-10-12T19:00:00.000Z,7,regular,TENN STATE,TXAMCO,21.0,42.0,-21.0,63.0,22.980971721169215,22.56864721885435,0.4123245023148643,45.549618940023564,0.5102797170075605,21.412324502314863,-17.450381059976436,0.260385389589316
2024,2024-10-12T19:00:00.000Z,7,regular,GRAMBLING,ALCORN ST,15.0,17.0,-2.0,32.0,23.73580886583599,24.84933921847875,-1.113530352642763,48.58514808431474,0.4722577508500668,0.8864696473572371,16.58514808431474,0.22302738323796378
