game_id,week,start_date,home_team,away_team,neutral,spread_home_minus_away,total_points,home_points,away_points,home_win_prob,home_moneyline,away_moneyline,weather_condition,weather_temp,weather_wind,weather_total_adj
401628402,9,2024-10-26T16:00:00.000Z,Ole Miss,Oklahoma,False,23.75420207014442,44.257394129339986,34.0057980997422,10.251596029597785,0.9459464233025208,-1750.0163376730527,1750.0163376730527,Fair,75.0,7.0,
401628983,9,2024-10-26T16:00:00.000Z,Navy,Notre Dame,True,-11.553065268902802,51.61085602129773,20.02889537619746,31.581960645100267,0.21726553047924302,360.26629157151893,-360.26629157151893,cloudy,64.0,17.4,-1.6199999999999994
401635597,9,2024-10-26T16:00:00.000Z,Virginia Tech,Georgia Tech,False,5.301372396610704,53.16822970728225,29.234801051946476,23.933428655335774,0.6400492543393729,-177.81578786971912,177.81578786971912,Cloudy,66.6,5.8,
401635598,9,2024-10-26T16:00:00.000Z,Virginia,North Carolina,False,-4.687331239186395,57.18210674754609,26.247387754179847,30.93471899336624,0.37560053408942273,166.24030299219984,-166.24030299219984,Cloudy,70.2,9.3,
401644755,9,2024-10-26T16:00:00.000Z,Ohio,Buffalo,False,11.038268947807126,50.05042973662809,30.544349342217608,19.506080394410482,0.772359617528559,-339.28936911070974,339.28936911070974,Cloudy,59.5,9.3,
401645354,9,2024-10-26T16:00:00.000Z,North Texas,Tulane,False,-12.292791679071819,61.48163149325477,24.594419907091474,36.88721158616329,0.20284632965708155,392.98402474944123,-392.9840247494413,Clear,75.2,6.8,
401628526,9,2024-10-26T16:00:00.000Z,Indiana,Washington,False,19.30982253757708,53.430747082326704,36.37028480995189,17.060462272374814,0.9042469924719072,-944.3536196047021,944.3536196047021,Clear,61.2,9.3,
401645353,9,2024-10-26T16:00:00.000Z,Memphis,Charlotte,False,21.599226035726428,56.00661359201909,38.80291981387276,17.20369377814633,0.927991532155179,-1288.7255623255462,1288.7255623255462,light rain,71.2,10.3,-1.5
401628403,9,2024-10-26T16:45:00.000Z,Mississippi State,Arkansas,False,-11.913470984756085,61.424570174222666,24.75554959473329,36.66902057948938,0.2101676096915699,375.8107119681969,-375.8107119681969,Clear,82.2,4.7,
401643816,9,2024-10-26T17:00:00.000Z,App State,Georgia State,False,6.3235667740022246,61.57947963717869,33.95152320559046,27.62795643158823,0.6655771529913291,-199.02263225875598,199.02263225875598,rain shower,63.5,5.8,-1.5
401645352,9,2024-10-26T18:00:00.000Z,East Carolina,Temple,False,19.4586428408041,50.72978642030829,35.094214630556195,15.635571789752092,0.9059470813453983,-963.2312258935655,963.2312258935655,Clear,76.8,0.0,
401644687,9,2024-10-26T18:00:00.000Z,Miami (OH),Central Michigan,False,13.766825860097644,47.94859653563418,30.85771119786591,17.09088533776827,0.8241256394933928,-468.587710635873,468.587710635873,Cloudy,65.3,6.9,
401644752,9,2024-10-26T19:30:00.000Z,Akron,Eastern Michigan,False,-0.6425522329162174,46.4051009672361,22.881274367159943,23.52382660007616,0.48266626327309037,107.18249359686541,-107.18249359686541,cloudy,53.1,13.9,-0.5700000000000001
401636906,9,2024-10-26T19:30:00.000Z,Baylor,Oklahoma State,False,14.973427610252951,63.58619930518458,39.27981345771877,24.306385847465812,0.8444265742376441,-542.7832999753678,542.7832999753678,Clear,88.9,5.8,
401644753,9,2024-10-26T19:30:00.000Z,Ball State,Northern Illinois,False,-20.079813501210776,53.60557148540801,16.762878992098614,36.84269249330939,0.08719696214218203,1046.828943844873,-1046.8289438448737,Clear,61.0,10.3,
401644754,9,2024-10-26T19:30:00.000Z,Toledo,Bowling Green,False,1.1603204227018704,46.032693354218594,23.596506888460233,22.43618646575836,0.5312789900313293,-113.34652783472195,113.34652783472195,Clear,57.6,7.0,
401636910,9,2024-10-26T19:30:00.000Z,TCU,Texas Tech,False,7.875737458137291,64.83008277104196,36.352910114589626,28.477172656452332,0.7028874097766036,-236.57274477938094,236.57274477938094,Clear,83.3,7.0,
401628528,9,2024-10-26T19:30:00.000Z,Minnesota,Maryland,False,14.954460960222356,44.51354992557226,29.73400544289731,14.779544482674954,0.8441199240496293,-541.5188046985437,541.5188046985437,Cloudy,58.1,8.1,
401636911,9,2024-10-26T19:30:00.000Z,UCF,BYU,False,-3.8517197735478996,52.64661779234477,24.397449009398436,28.249168782946334,0.39722578798355435,151.74599188947957,-151.74599188947957,Cloudy,83.1,11.4,
