team,plays_mean,pass_rate,plays_var,pass_rate_var,pass_attempts_mean,rush_attempts_mean,sack_rate,throwaway_rate,scramble_rate,pass_k,rush_k,win_prob_q4,favored
FLORIDA STATE,70.5,0.362901831899007,99.71428571428572,0.0118621117544598,26.125,42.75,0.1052631578947368,0.0,0.0,8.125186011904761,265.1386010362693,0.5235979895249705,True
GEORGIA,72.0,0.42463100403329324,104.0,0.0037741193621579,30.5,40.25,0.064516129032258,0.0,0.0,inf,81.14803220035778,0.2062675974742764,False
GEORGIA SOUTHERN,66.875,0.4744626407752831,196.125,0.0079357267936856,31.875,32.125,,,,13.73657049734428,20.06697048611111,0.614448587553139,True
GEORGIA STATE,67.25,0.5649255184079043,125.64285714285715,0.013929228884269299,38.375,27.625,,,,13.94451724721001,19.181272441651704,0.8194729810642682,True
HAWAI'I,,,,,,,,,,inf,inf,0.689637149333309,True
HOUSTON,71.0,0.4174638714291804,106.25,0.0086364737114569,29.222222222222218,40.44444444444444,0.0526315789473684,0.0,0.0,180.8339869281046,21.858615854161503,0.6331897321722655,True
INDIANA,69.55555555555556,0.3994335603813171,96.52777777777776,0.0041116287628591,27.444444444444446,41.44444444444444,0.04,0.0,0.0,inf,45.10219628819191,0.1611946896160333,False
IOWA,61.125,0.3799672058959858,57.83928571428572,0.009246284849052,23.5,36.375,,,,13.44608695652174,699.0176886792442,0.7531661580368185,True
IOWA STATE,68.44444444444444,0.4573110841596002,49.52777777777777,0.006582469803070901,31.444444444444446,35.22222222222222,0.0512820512820512,0.0,0.0,37.907466572003315,inf,0.6568733974511471,True
JACKSONVILLE STATE,69.375,0.3283912305682361,55.982142857142854,0.0078674611020073,22.875,45.375,0.05,0.0,0.0,19.82603179972936,143.7629364089776,0.3971553612288507,False
JAMES MADISON,69.5,0.3633547066359566,84.57142857142857,0.0033388445440656,25.375,42.625,0.05,0.0,0.0,54.79920212765957,inf,0.1871659445194911,False
KANSAS,63.11111111111111,0.45993261690025156,99.8611111111111,0.0098403013631461,28.777777777777782,32.77777777777778,0.0,0.0,0.0,62.89826535396156,22.305523516596185,0.6363855954887261,True
KENNESAW STATE,63.875,0.43706926280030006,117.26785714285715,0.0063920289975612,28.125,34.875,0.0303030303030303,0.0,0.0,26.87917172330097,113.89778428093642,0.2173090988391141,False
KENT STATE,55.5,0.42238289155375075,53.42857142857143,0.003056605294386,23.375,30.25,,,,inf,inf,0.6391320033590437,True
KENTUCKY,66.75,0.44466104012474983,73.35714285714286,0.0132594290590178,29.875,35.0,0.0666666666666666,0.0,0.0,17.561797259311316,43.09045226130653,0.6219943798814019,True
LIBERTY,62.375,0.3881426563538289,114.26785714285714,0.0081112353122207,24.625,36.25,0.0,0.0,0.0,14.97260802469136,153.9487447698745,0.2791564030492126,False
LOUISIANA,58.66666666666666,0.4004862586643677,102.5,0.0084691805454932,23.444444444444443,33.666666666666664,0.0555555555555555,0.0,0.0,27.03157255616271,27.09428950863214,0.47394866669669833,False
LOUISIANA TECH,66.125,0.4037164742889674,171.26785714285714,0.0098972055877222,26.75,37.625,0.0,0.0,0.0,10.789310716208938,16.39286083540116,0.2357385469851942,False
LOUISVILLE,65.125,0.5376317993762625,94.69642857142856,0.0060061385297462,35.5,27.875,0.0344827586206896,0.0,0.0,21.12994011976048,inf,0.0534482861711836,False
LSU,,,,,,,,,,inf,inf,0.7980233511123663,True
MARSHALL,72.25,0.3549018109401767,365.3571428571428,0.0049667232348082,25.875,45.125,0.028571428571428498,0.0,0.0,9.976816125598722,21.69537195585997,0.8128340554805089,True
MARYLAND,65.375,0.5939674997949873,114.55357142857144,0.0081015954336409,38.75,26.25,0.0,0.0,0.0,39.18336439888164,22.778925619834713,0.4828420754808771,False
MASSACHUSETTS,67.125,0.5409233352431883,272.125,0.0204277141958407,36.125,28.125,,,,13.316485969387754,6.071391858552632,0.8521921572432395,True
MEMPHIS,66.22222222222223,0.43370107387353896,59.19444444444445,0.0092914080817959,28.777777777777782,35.77777777777778,0.08,0.0,0.0,27.682244919013723,88.78955255833871,0.2417131101003956,False
MIAMI,67.625,0.47749631327543507,59.982142857142854,0.0051783726175834,32.0,35.125,0.0,0.0,0.0,inf,46.68302364864864,0.0248106681102793,False
MIAMI (OH),60.375,0.4274291045086018,205.41071428571428,0.0120120405302649,24.75,34.625,,,,inf,7.008128914405009,0.715113468774102,True
MIDDLE TENNESSEE,66.75,0.6147738933487776,213.3571428571429,0.0040604211866531,40.5,23.25,0.03125,0.0,0.0,227.36138613861385,10.60669236159776,0.5358536468756218,True
MISSISSIPPI STATE,69.66666666666667,0.4244559763398545,147.5,0.0068307979075332,29.777777777777782,37.22222222222222,0.0303030303030303,0.0,0.0,20.66134483998562,53.863690904727626,0.7937324025257235,True
MISSOURI,76.125,0.4307053721276991,110.69642857142856,0.0058502119691712,32.5,41.5,,,,159.00537634408596,34.298008534850645,0.684617568216365,True
MISSOURI STATE,63.625,0.5102801294840202,131.98214285714286,0.0027299115356193,32.625,28.0,0.1,0.0,0.0,43.444515306122454,91.46666666666668,0.7208435969507875,True
NAVY,60.875,0.2426917016559105,55.55357142857143,0.0143573213898997,14.25,46.25,0.0666666666666666,0.0,0.0,12.28023758099352,25.47586133560187,0.9682135571840736,True
NEBRASKA,63.66666666666666,0.47372760933336155,76.0,0.0059720558167533,30.555555555555554,30.33333333333333,0.0,0.0,0.0,23.357269708902795,74.10290827740486,0.3307920486616468,False
NEVADA,58.75,0.4463355326136754,65.92857142857143,0.0063136349490074,26.0,31.375,,,,inf,22.648264174198857,0.823111774167044,True
