season,week,season_type,classification,game_id,home_team,away_team,commence_time,bookmaker,market,open_timestamp,close_timestamp,open_point,open_price_home,open_price_away,close_point,close_price_home,close_price_away,open_price_over,open_price_under,close_price_over,close_price_under,open_price_draw,close_price_draw
2025,3,regular,fbs,401756891,Baylor,Samford,2025-09-13T16:00:00+00:00,fanduel,spread,2025-09-13T04:00:40+00:00,2025-09-13T10:20:39+00:00,-48.5,-110.0,-110.0,-48.5,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401756891,Baylor,Samford,2025-09-13T16:00:00+00:00,fanduel,total,2025-09-13T04:00:40+00:00,2025-09-13T10:20:39+00:00,59.5,,,59.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401762818,Ball State,New Hampshire,2025-09-13T18:00:00+00:00,fanduel,spread,2025-09-13T06:00:39+00:00,2025-09-13T10:20:39+00:00,-1.5,-106.0,-114.0,-1.5,-106.0,-114.0,,,,,,
2025,3,regular,fbs,401762818,Ball State,New Hampshire,2025-09-13T18:00:00+00:00,fanduel,total,2025-09-13T06:00:39+00:00,2025-09-13T10:20:39+00:00,47.5,,,47.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401762818,Ball State,New Hampshire,2025-09-13T18:00:00+00:00,fanduel,moneyline,2025-09-13T06:00:39+00:00,2025-09-13T10:20:39+00:00,,-111.0,-108.0,,-111.0,-108.0,,,,,,
2025,3,regular,fbs,401752835,Penn State,Villanova,2025-09-13T19:30:00+00:00,fanduel,spread,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,-48.5,-110.0,-110.0,-48.5,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401752835,Penn State,Villanova,2025-09-13T19:30:00+00:00,fanduel,total,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,55.5,,,55.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401756892,Cincinnati,Northwestern State,2025-09-13T19:30:00+00:00,fanduel,spread,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,-46.5,-110.0,-110.0,-46.5,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401756892,Cincinnati,Northwestern State,2025-09-13T19:30:00+00:00,fanduel,total,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,53.5,,,53.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401762467,UTSA,Incarnate Word,2025-09-13T19:30:00+00:00,fanduel,spread,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,-17.5,-108.0,-112.0,-17.5,-108.0,-112.0,,,,,,
2025,3,regular,fbs,401762467,UTSA,Incarnate Word,2025-09-13T19:30:00+00:00,fanduel,total,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,61.5,,,61.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401762467,UTSA,Incarnate Word,2025-09-13T19:30:00+00:00,fanduel,moneyline,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,,-850.0,570.0,,-850.0,570.0,,,,,,
2025,3,regular,fbs,401762819,Toledo,Morgan State,2025-09-13T19:30:00+00:00,fanduel,spread,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,-33.5,-110.0,-110.0,-33.5,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401762819,Toledo,Morgan State,2025-09-13T19:30:00+00:00,fanduel,total,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,50.5,,,50.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401754639,North Carolina,Richmond,2025-09-13T19:30:00+00:00,fanduel,spread,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,-21.5,-115.0,-105.0,-21.5,-115.0,-105.0,,,,,,
2025,3,regular,fbs,401754639,North Carolina,Richmond,2025-09-13T19:30:00+00:00,fanduel,total,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,46.5,,,46.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401754639,North Carolina,Richmond,2025-09-13T19:30:00+00:00,fanduel,moneyline,2025-09-13T07:30:39+00:00,2025-09-13T10:20:39+00:00,,-2800.0,1160.0,,-2800.0,1160.0,,,,,,
2025,3,regular,fbs,401761606,Marshall,Eastern Kentucky,2025-09-13T22:00:00+00:00,fanduel,spread,2025-09-13T10:00:39+00:00,2025-09-13T10:20:39+00:00,-14.0,-110.0,-110.0,-14.0,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401761606,Marshall,Eastern Kentucky,2025-09-13T22:00:00+00:00,fanduel,total,2025-09-13T10:00:39+00:00,2025-09-13T10:20:39+00:00,50.5,,,50.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401761606,Marshall,Eastern Kentucky,2025-09-13T22:00:00+00:00,fanduel,moneyline,2025-09-13T10:00:39+00:00,2025-09-13T10:20:39+00:00,,-530.0,390.0,,-530.0,390.0,,,,,,
2025,3,regular,fbs,401752701,Mississippi State,Alcorn State,2025-09-13T22:00:00+00:00,fanduel,spread,2025-09-13T10:00:39+00:00,2025-09-13T10:20:39+00:00,-39.5,-110.0,-110.0,-39.5,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401752701,Mississippi State,Alcorn State,2025-09-13T22:00:00+00:00,fanduel,total,2025-09-13T10:00:39+00:00,2025-09-13T10:20:39+00:00,52.5,,,52.5,,,-110.0,-110.0,-110.0,-110.0,,
2025,3,regular,fbs,401757235,Kennesaw State,Merrimack,2025-09-13T22:00:00+00:00,fanduel,spread,2025-09-13T10:00:39+00:00,2025-09-13T10:20:39+00:00,-10.5,-110.0,-110.0,-10.5,-110.0,-110.0,,,,,,
2025,3,regular,fbs,401757235,Kennesaw State,Merrimack,2025-09-13T22:00:00+00:00,fanduel,total,2025-09-13T10:00:39+00:00,2025-09-13T10:20:39+00:00,44.5,,,44.5,,,-114.0,-106.0,-114.0,-106.0,,
2025,3,regular,fbs,401757235,Kennesaw State,Merrimack,2025-09-13T22:00:00+00:00,fanduel,moneyline,2025-09-13T10:00:39+00:00,2025-09-13T10:20:39+00:00,,-385.0,300.0,,-385.0,300.0,,,,,,
