wager_id,wager_date,description,description_short,bet_type,status,stake,to_win,to_return,placed_at,status_badge,device_context,details_extra,result_badge,result_context,source,ingested_at,status_badge_secondary,rotation,matchup,selection,market_type,bet_line,bet_price,bet_probability,status_normalized,net_profit,roi,record_win,record_loss,record_push,closing_line,closing_price,clv_line,clv_price,closing_provider,closing_timestamp,sport,market,odds_american,risk,payout,odds_decimal
,,Navy/North Texas over 34.5 1H,,,Pending,,-1.5700000000000005,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561269+00:00,,,Navy/North Texas over 34.5 1H,Navy/North Texas over 34.5 1H,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Total,-115,12.0,10.43,1.869565217391304
,,Ohio State -10 1H vs Penn State,,,Pending,,-3.41,,,,,,,,week10_fliff_betonline_combined,2025-11-01 16:52:28.561293+00:00,,,Ohio State -10 1H vs Penn State,Ohio State -10 1H vs Penn State,spread,-10.0,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Spread,-117,23.5,20.09,1.8547008547008548
,,Columbia Lions,,,Pending,,23.860000000000003,,,,,,,,week10_fliff_betonline_combined,,,,Columbia Lions,Columbia Lions,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,MONEYLINE,1110,2.15,26.01,1110.0
,,Holy Cross Crusaders,,,Pending,,20.25,,,,,,,,week10_fliff_betonline_combined,,,,Holy Cross Crusaders,Holy Cross Crusaders,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,MONEYLINE,135,15.0,35.25,135.0
,,Morehead State -12.5,,,Pending,,10.0,,,,,,,,week10_fliff_betonline_combined,,,,Morehead State -12.5,Morehead State -12.5,spread,-12.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,11.0,21.0,1.9090909090909092
,,UConn -12.5,,,Pending,,30.0,,,,,,,,week10_fliff_betonline_combined,,,,UConn -12.5,UConn -12.5,spread,-12.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,33.0,63.0,1.9090909090909092
,,Navy +6.5,,,Pending,,15.450000000000005,,,,,,,,week10_fliff_betonline_combined,,,,Navy +6.5,Navy +6.5,spread,6.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,POINT SPREAD,-110,17.0,32.45,1.9090909090909092
,,Mississippi -470 / Virginia -230 / San Diego State -415,,,Pending,,4.900000000000002,,,,,,,,week10_fliff_betonline_combined,,,,Mississippi -470 / Virginia -230 / San Diego State -415,Mississippi -470 / Virginia -230 / San Diego State -415,moneyline,,-470.0,0.8245614035087719,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Parlay,Parlay,30.77,35.67,
,,Navy/North Texas over 34.5 1H,,,Pending,,-1.5700000000000005,,,,,,,,week10_fliff_betonline_combined,,,,Navy/North Texas over 34.5 1H,Navy/North Texas over 34.5 1H,spread,,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Total,-115,12.0,10.43,1.869565217391304
,,Ohio State -10 1H vs Penn State,,,Pending,,-3.41,,,,,,,,week10_fliff_betonline_combined,,,,Ohio State -10 1H vs Penn State,Ohio State -10 1H vs Penn State,spread,-10.0,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Spread,-117,23.5,20.09,1.8547008547008548
,,Maryland +21.5 vs Indiana,,,Pending,,20.0,,,,,,,,week10_fliff_betonline_combined,,,,Maryland +21.5 vs Indiana,Maryland +21.5 vs Indiana,spread,21.5,,,pending,,,0.0,0.0,0.0,,,,,,,NCAAF,Point Spread,-110,22.0,42.0,1.9090909090909092
