game_id,week,home_team,away_team,vegas_spread,vegas_spread_closing,raw_spread
401752752,9,Vanderbilt,Missouri,3.0,,3.0345168408339176
401752942,9,Wake Forest,SMU,-3.0,,-4.102773744223098
401757172,9,Rice,UConn,-10.5,,-8.336606252456157
401760397,9,Nevada,Boise State,-22.0,,-14.281966461231752
401752747,9,Kentucky,Tennessee,-9.0,,-8.937154586800727
401752884,9,Purdue,Rutgers,-2.5,,3.004719404065099
401752881,9,Michigan State,Michigan,-14.0,,-10.739213604435475
401762848,9,Eastern Michigan,Ohio,-10.5,,-6.134862525975204
401762493,9,Navy,Florida Atlantic,14.0,,12.794704465482084
401752952,9,Washington State,Toledo,1.5,,2.253880144899465
401752748,9,LSU,Texas A&M,-2.5,,-3.612754656557111
401754570,9,Louisville,Boston College,24.0,,19.888162756347054
401752880,9,Washington,Illinois,5.0,,4.101907242016558
401756940,10,Kansas,Oklahoma State,24.5,,20.676606929873145
401754583,10,Boston College,Notre Dame,-28.5,,-22.91637680028054
401756936,10,Baylor,UCF,5.0,,4.843628596300009
401756938,10,Houston,West Virginia,14.5,,9.164755503643459
401757292,10,Middle Tennessee,Jacksonville State,-6.0,-4.5,-4.226747880857712
401757290,10,Louisiana Tech,Sam Houston,17.0,,24.442164451539995
401756937,10,Colorado,Arizona,-4.5,,-3.838782900099207
401761641,10,UL Monroe,Old Dominion,-15.0,,-16.174586626243816
401762850,10,Western Michigan,Central Michigan,5.5,,5.933097689915034
401761639,10,Texas State,James Madison,-6.0,-13.5,-9.88740283218132
401754582,10,Stanford,Pittsburgh,-14.0,,-12.215422208813544
401757294,10,Western Kentucky,New Mexico State,8.5,,8.338862025561832
401752891,10,Illinois,Rutgers,13.0,,14.166097680130132
401752890,10,Michigan,Purdue,21.0,,16.245279395814535
401756939,10,Iowa State,Arizona State,4.0,,4.546342838577852
401752888,10,Minnesota,Michigan State,4.0,,4.1148041453853
401757289,10,Kennesaw State,UTEP,10.0,9.5,12.594326756277177
401757291,10,Missouri State,Florida International,4.0,,5.586957604589105
401761640,10,Coastal Carolina,Marshall,-4.0,,-0.6546340761360405
401757173,10,UConn,UAB,12.0,,10.948426823688703
401760401,10,Air Force,Army,-1.0,,-1.9810761812435154
401760404,10,UNLV,New Mexico,5.0,,1.2139955767514137
401752755,10,Florida,Georgia,-7.5,,-7.6263770135809095
401757293,10,Liberty,Delaware,3.0,,8.43381951209898
401760405,10,San Diego State,Wyoming,11.0,,11.991334352565419
401752943,10,Oregon State,Washington State,-4.0,,-5.229508581917944
401761642,10,South Alabama,Louisiana,4.0,,0.9852815045872867
401752758,10,Texas,Vanderbilt,3.0,,3.515341251335474
401762443,10,UTSA,Tulane,-4.0,,1.8371787016555188
401760403,10,San José State,Hawai'i,2.5,,2.8832431148037565
401754577,10,Clemson,Duke,3.5,,4.379889153164032
401761643,10,Troy,Arkansas State,8.0,,7.485416416893816
401752757,10,Tennessee,Oklahoma,3.5,,1.28635901285698
401754576,10,California,Virginia,-4.5,,-7.141047182472867
401752889,10,Ohio State,Penn State,20.5,,14.275411219130914
401752887,10,Maryland,Indiana,-21.0,,-18.752183471688056
401752892,10,Nebraska,USC,-6.0,,-5.3324761673821355
401754579,10,NC State,Georgia Tech,-6.5,,-2.7940400133555356
401762497,10,Rice,Memphis,-14.0,,-18.106476979685915
401762849,10,Bowling Green,Buffalo,1.5,,-0.6771393202434939
401762498,10,Temple,East Carolina,-4.5,,-6.896422571098695
401754575,10,Syracuse,North Carolina,2.5,,1.0745384865734193
401756941,10,Kansas State,Texas Tech,-7.0,,-8.466446538071223
401752756,10,Ole Miss,South Carolina,13.5,,11.078125367516101
401754581,10,SMU,Miami,-9.5,,-5.670866023685483
