season,week,target_spread,target_provider,provider_count,provider_list,spread_mean,spread_std,spread_min,spread_max,spread_rating_diff,power_diff,offense_diff,defense_diff,special_diff
2024,7,2.5,ESPN Bet,1,ESPN Bet,2.5,0.0,2.5,2.5,-0.024368983240072417,0.1916869532835367,1.3929989645203729,1.4106669734409643,1.046774811020641
2024,7,6.5,ESPN Bet,1,ESPN Bet,6.5,0.0,6.5,6.5,-8.590727115490587,-1.2302028271110306,-1.3095775821159379,0.021014445997219452,0.5019460050106331
2024,7,6.5,ESPN Bet,1,ESPN Bet,6.5,0.0,6.5,6.5,2.4463363599358994,1.0843897406490397,-0.2503114059756828,-1.2667507871378199,0.339751797434515
2024,7,19.0,ESPN Bet,1,ESPN Bet,19.0,0.0,19.0,19.0,-7.991628333328206,1.9841770042506948,0.21026941934607213,-1.8278361201427447,-0.26964267619060944
2024,7,7.5,ESPN Bet,1,ESPN Bet,7.5,0.0,7.5,7.5,-8.863536919371999,0.6603587677933999,-0.6980963440299999,-1.332685731267838,0.12884690277780825
2024,7,2.5,ESPN Bet,1,ESPN Bet,2.5,0.0,2.5,2.5,-0.024368983240072417,0.1916869532835367,1.3929989645203729,1.4106669734409643,1.046774811020641
2024,7,17.5,ESPN Bet,1,ESPN Bet,17.5,0.0,17.5,17.5,3.158881986345256,-0.7683098718668515,-0.812471081815472,0.24367727633078706,1.4391924313970381
2024,7,1.0,ESPN Bet,1,ESPN Bet,1.0,0.0,1.0,1.0,-0.9657624393473632,2.3028923673676394,0.33715261993662266,-2.0722536931596123,-0.5325697286429781
2024,7,-18.0,ESPN Bet,1,ESPN Bet,-18.0,0.0,-18.0,-18.0,-7.4220109014508235,-1.8189223359072688,-0.507062710515519,1.2604241445774989,-0.2571774040712547
2024,7,-6.5,ESPN Bet,1,ESPN Bet,-6.5,0.0,-6.5,-6.5,-17.24254821434328,1.4921013333389912,0.0607629506762532,-1.3441222073738703,0.4360808764443397
2024,7,8.5,ESPN Bet,1,ESPN Bet,8.5,0.0,8.5,8.5,4.941031220623293,-0.24954886445132285,0.2900922769097142,0.6519004587709993,0.5612965870498119
2024,7,-2.5,ESPN Bet,1,ESPN Bet,-2.5,0.0,-2.5,-2.5,5.743602167361834,-5.188164545425584,-1.8139749190598033,3.413035037400877,0.19422705517548028
2024,7,-14.5,ESPN Bet,1,ESPN Bet,-14.5,0.0,-14.5,-14.5,-3.4271230020294574,-3.640476619883451,-1.8102611694441533,1.8850866007427625,0.27435575151732483
2024,7,8.0,ESPN Bet,1,ESPN Bet,8.0,0.0,8.0,8.0,4.296336360421135,2.0269095791137284,0.665730484592556,-1.356115378677045,0.025318579220637072
2024,7,2.5,ESPN Bet,1,ESPN Bet,2.5,0.0,2.5,2.5,6.0847818194140375,1.706697484673491,0.1769560114575398,-1.635435218933452,-0.5284687285875028
2024,7,17.5,ESPN Bet,1,ESPN Bet,17.5,0.0,17.5,17.5,17.713175465429984,0.44822338312719956,-0.1921292774539847,-0.5343554623840444,0.5299859909856994
2024,7,21.5,ESPN Bet,1,ESPN Bet,21.5,0.0,21.5,21.5,2.61280590296806,1.643696335866053,1.5397682323030442,-0.09295732729957681,0.0548538813171599
2024,7,-2.0,ESPN Bet,1,ESPN Bet,-2.0,0.0,-2.0,-2.0,3.5726559450254536,-3.959480349224956,-1.1716617832717329,2.494236788362549,-1.4679088879533722
