season,week,home,away,actual_home,actual_away,home_offense,away_offense,home_defense,away_defense,home_special,away_special,home_flag
2023,4,SOUTHERN U,TENN STATE,28.0,7.0,-1.1314560826510645,-1.4442904903627436,-2.035293979773674,-0.03971098180967482,-0.9585375725755426,0.6528000148453635,1.0
2023,4,SCAR STATE,BETH COOK,48.0,7.0,-0.5007707775647916,0.5129535824346835,1.0410431363432906,-1.5694953737973365,-1.0021084387500485,0.22932277769020926,1.0
2023,4,FURMAN,MERCER,38.0,14.0,0.2357437032255126,1.4789670897378733,1.006860815529008,2.564458654693473,0.7219986335635004,0.5916046328744263,1.0
2023,4,VALPO,MARIST,30.0,36.0,-1.0849961420351748,-1.3774982502594464,-0.07718131250653014,0.5804819276967605,0.13584335914075105,0.06728603662532553,1.0
2023,4,FORDHAM,CORNELL,44.0,0.0,-1.409943388738597,-0.3070007124130536,-1.7452441756687065,0.48113814300184216,-0.4538081616993365,-0.46247476032879853,1.0
2023,4,ILL STATE,STF AUSTIN,10.0,7.0,0.8922281869555811,0.05656616677868452,-0.36962383709767366,2.9520666271748364,0.04466637227059255,0.45027248803026365,1.0
2023,4,WEBER ST,STNY BROOK,19.0,37.0,-0.4993835722759319,0.10388124227043377,-0.794282723501795,0.8538182692920716,-0.17353371508090912,-0.05450509434024716,1.0
2023,4,E WASHGTON,STHLSK,56.0,14.0,-1.258895767059131,-1.526151090783864,-0.595314029440919,0.5185993091137667,0.7262465081940498,-0.2518026042702961,1.0
2023,4,MARIST,SOUTHERN U,50.0,0.0,-1.3774982502594464,-1.1314560826510645,0.5804819276967605,-2.035293979773674,0.06728603662532553,-0.9585375725755426,1.0
2023,4,DARTMOUTH,LEHIGH,34.0,17.0,1.2340868484151994,1.709528758515078,1.354693243142525,2.7215664563202475,-0.09435519977781391,-0.21036260996331382,1.0
2023,4,MAINE,WOFFORD,17.0,14.0,0.017062177929087496,-0.7954089038863845,1.223308526032398,0.9796312497016109,-0.3791475197108194,1.0600449116862187,1.0
2023,4,TARLETON,TENN MARTN,49.0,31.0,2.1394274337397277,-0.29546173045640295,2.6078892088952013,-0.5953464526033412,0.9790818185711567,0.5748789269143199,1.0
2023,4,CENT ARK,W ILLINOIS,38.0,0.0,0.05202783057582748,-0.40124010814251504,-0.3610923551968519,-1.2402389282111312,-0.5481113728324037,-0.5109433943155389,1.0
2023,4,STTHOM,MOREHEAD,35.0,28.0,1.5199100213967989,-0.16820751980419305,0.6693857200049476,-1.299109476545776,1.3673389784394012,0.39727252721931844,1.0
2023,4,STF AUSTIN,MOREHEAD,16.0,49.0,0.05656616677868452,-0.16820751980419305,2.9520666271748364,-1.299109476545776,0.45027248803026365,0.39727252721931844,1.0
